Set   ,   Time[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Con[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   SCD[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Shift[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Squeeze[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Time[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Con[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   SCD[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Shift[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Squeeze[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Time[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Con[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   SCD[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Shift[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Squeeze[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Time[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Con[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   SCD[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Shift[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Squeeze[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Time[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Con[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   SCD[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Shift[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Squeeze[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Time[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Con[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   SCD[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Shift[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Squeeze[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Time[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Con[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   SCD[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Shift[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Squeeze[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Time[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Con[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   SCD[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Shift[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Squeeze[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Time[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Con[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   SCD[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Shift[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Squeeze[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Time[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Con[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   SCD[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Shift[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Squeeze[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Time[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Con[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   SCD[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Shift[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Squeeze[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Time[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Con[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   SCD[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Shift[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Squeeze[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Time[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Con[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   SCD[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Shift[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Squeeze[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Time[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Con[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   SCD[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Shift[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Squeeze[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Time[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Con[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   SCD[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Shift[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Squeeze[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Time[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Con[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   SCD[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Shift[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Squeeze[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Time[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Con[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   SCD[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Shift[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Squeeze[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Time[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Con[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   SCD[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Shift[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Squeeze[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Time[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Con[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   SCD[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Shift[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Squeeze[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Time[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Con[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   SCD[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Shift[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Squeeze[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Time[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Con[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   SCD[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Shift[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Squeeze[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Time[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Con[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   SCD[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Shift[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Squeeze[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Time[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Con[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   SCD[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Shift[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Squeeze[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Time[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Con[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   SCD[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Shift[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Squeeze[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Time[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Con[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   SCD[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Shift[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Squeeze[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Time[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Con[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   SCD[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Shift[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Squeeze[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Time[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Con[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   SCD[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Shift[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Squeeze[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Time[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Con[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   SCD[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Shift[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Squeeze[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Time[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Con[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   SCD[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Shift[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Squeeze[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Time[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Con[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   SCD[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Shift[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Squeeze[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Time[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Con[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   SCD[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Shift[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Squeeze[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Time[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Con[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   SCD[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Shift[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Squeeze[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Time[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Con[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   SCD[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Shift[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Squeeze[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   
---   ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   
001   ,   08:00:08                ,   00:00:01                 ,  -2.26211e+000           ,   2.28180e+001             ,  -2.71453e+004           ,   2.73816e-001             ,   5.00000e+005             ,   2.18073e+003             ,  -10.00000e+002               ,   5.45812e+000             ,   08:01:14                ,   00:00:01                 ,   5.89193e+001           ,   1.25119e+001             ,   7.07032e+005           ,   1.50143e-001             ,   5.00000e+005             ,   4.60350e+001             ,  -10.00000e+002               ,   1.15219e-001             ,   08:02:20                ,   00:00:01                 ,  -8.43504e+001           ,   7.51651e+000             ,  -1.01220e+006           ,   9.01982e-002             ,   5.00000e+005             ,   1.93175e+001             ,  -1.00000e+003               ,   4.83489e-002             ,   08:00:14                ,   00:00:01                 ,   8.60079e+001           ,   1.32140e+001             ,   1.03209e+006           ,   1.58568e-001             ,   5.00000e+005             ,   3.33057e+001             ,  -10.00000e+002               ,   8.33591e-002             ,   08:01:08                ,   00:00:01                 ,   1.95444e+001           ,   1.27322e+001             ,   2.34533e+005           ,   1.52786e-001             ,   5.00000e+005             ,   1.41222e+002             ,  -10.00000e+002               ,   3.53459e-001             ,   08:01:20                ,   00:00:01                 ,   8.36735e+000           ,   1.44379e+001             ,   1.00408e+005           ,   1.73255e-001             ,   5.00000e+005             ,   3.74058e+002             ,  -10.00000e+002               ,   9.36212e-001             ,   08:02:14                ,   00:00:01                 ,  -5.39423e+001           ,   1.38782e+001             ,  -6.47307e+005           ,   1.66539e-001             ,   5.00000e+005             ,   5.57735e+001             ,  -1.00000e+003               ,   1.39593e-001             ,   08:02:26                ,   00:00:01                 ,  -4.98479e+001           ,   1.25807e+001             ,  -5.98175e+005           ,   1.50968e-001             ,   5.00000e+005             ,   5.47116e+001             ,  -1.00000e+003               ,   1.36935e-001             ,   08:03:20                ,   00:00:01                 ,  -9.24704e+001           ,   8.32131e+000             ,  -1.10965e+006           ,   9.98557e-002             ,   5.00000e+005             ,   1.95079e+001             ,  -1.00000e+003               ,   4.88255e-002             ,   08:00:20                ,   00:00:01                 ,   9.14189e+001           ,   1.11906e+001             ,   1.09703e+006           ,   1.34287e-001             ,   5.00000e+005             ,   2.65363e+001             ,  -10.00000e+002               ,   6.64165e-002             ,   08:01:02                ,   00:00:01                 ,   7.21765e+001           ,   1.56085e+001             ,   8.66118e+005           ,   1.87302e-001             ,   5.00000e+005             ,   4.68800e+001             ,  -10.00000e+002               ,   1.17334e-001             ,   08:01:26                ,   00:00:01                 ,   1.44888e+001           ,   1.15996e+001             ,   1.73865e+005           ,   1.39195e-001             ,   5.00000e+005             ,   1.73553e+002             ,  -10.00000e+002               ,   4.34378e-001             ,   08:02:08                ,   00:00:01                 ,  -6.44487e+001           ,   1.03406e+001             ,  -7.73384e+005           ,   1.24087e-001             ,   5.00000e+005             ,   3.47818e+001             ,  -1.00000e+003               ,   8.70538e-002             ,   08:02:32                ,   00:00:01                 ,  -7.84596e+001           ,   1.07030e+001             ,  -9.41516e+005           ,   1.28436e-001             ,   5.00000e+005             ,   2.95720e+001             ,  -1.00000e+003               ,   7.40144e-002             ,   08:03:14                ,   00:00:01                 ,  -9.76056e+001           ,   1.48896e+001             ,  -1.17127e+006           ,   1.78675e-001             ,   5.00000e+005             ,   3.30698e+001             ,  -1.00000e+003               ,   8.27687e-002             ,   08:00:26                ,   00:00:01                 ,   6.69813e+001           ,   1.39835e+001             ,   8.03776e+005           ,   1.67802e-001             ,   5.00000e+005             ,   4.52569e+001             ,  -10.00000e+002               ,   1.13271e-001             ,   08:00:56                ,   00:00:01                 ,   5.09169e+001           ,   1.00835e+001             ,   6.11003e+005           ,   1.21002e-001             ,   5.00000e+005             ,   4.29311e+001             ,  -10.00000e+002               ,   1.07450e-001             ,   08:01:32                ,   00:00:01                 ,   5.92284e+001           ,   1.06847e+001             ,   7.10741e+005           ,   1.28217e-001             ,   5.00000e+005             ,   3.91072e+001             ,  -10.00000e+002               ,   9.78795e-002             ,   08:02:02                ,   00:00:01                 ,  -9.60032e+001           ,   9.02784e+000             ,  -1.15204e+006           ,   1.08334e-001             ,   5.00000e+005             ,   2.03855e+001             ,  -1.00000e+003               ,   5.10218e-002             ,   08:02:38                ,   00:00:01                 ,  -2.50178e+001           ,   1.59518e+001             ,  -3.00216e+005           ,   1.91423e-001             ,   5.00000e+005             ,   1.37624e+002             ,  -1.00000e+003               ,   3.44433e-001             ,   08:03:08                ,   00:00:01                 ,  -5.15022e+001           ,   8.86672e+000             ,  -6.18027e+005           ,   1.06401e-001             ,   5.00000e+005             ,   3.73216e+001             ,  -1.00000e+003               ,   9.34103e-002             ,   08:00:32                ,   00:00:01                 ,   9.97421e+001           ,   1.86967e+001             ,   1.19690e+006           ,   2.24361e-001             ,   5.00000e+005             ,   4.06359e+001             ,  -10.00000e+002               ,   1.01706e-001             ,   08:00:50                ,   00:00:01                 ,   2.48017e+001           ,   1.07020e+001             ,   2.97620e+005           ,   1.28423e-001             ,   5.00000e+005             ,   9.35416e+001             ,  -10.00000e+002               ,   2.34121e-001             ,   08:01:38                ,   00:00:01                 ,   7.65855e+000           ,   8.38233e+000             ,   9.19025e+004           ,   1.00588e-001             ,   5.00000e+005             ,   2.37269e+002             ,  -1.00000e+003               ,   5.93849e-001             ,   08:01:56                ,   00:00:01                 ,  -7.57093e+001           ,   1.03365e+001             ,  -9.08512e+005           ,   1.24039e-001             ,   5.00000e+005             ,   2.95971e+001             ,  -1.00000e+003               ,   7.40771e-002             ,   08:02:44                ,   00:00:01                 ,  -4.28927e+001           ,   8.93704e+000             ,  -5.14713e+005           ,   1.07244e-001             ,   5.00000e+005             ,   4.51682e+001             ,  -1.00000e+003               ,   1.13049e-001             ,   08:03:02                ,   00:00:01                 ,  -1.04941e+002           ,   9.55395e+000             ,  -1.25930e+006           ,   1.14647e-001             ,   5.00000e+005             ,   1.97360e+001             ,  -1.00000e+003               ,   4.93962e-002             ,   08:00:38                ,   00:00:01                 ,   4.29795e+001           ,   1.15496e+001             ,   5.15754e+005           ,   1.38595e-001             ,   5.00000e+005             ,   5.82542e+001             ,  -10.00000e+002               ,   1.45802e-001             ,   08:00:44                ,   00:00:01                 ,   7.92112e+001           ,   1.43169e+001             ,   9.50535e+005           ,   1.71803e-001             ,   5.00000e+005             ,   3.91819e+001             ,  -10.00000e+002               ,   9.80664e-002             ,   08:01:44                ,   00:00:01                 ,   1.95966e+001           ,   9.82413e+000             ,   2.35160e+005           ,   1.17890e-001             ,   5.00000e+005             ,   1.08676e+002             ,  -1.00000e+003               ,   2.72001e-001             ,   08:01:50                ,   00:00:01                 ,  -2.11608e+001           ,   1.20009e+001             ,  -2.53929e+005           ,   1.44011e-001             ,   5.00062e+005             ,   1.26313e+002             ,  -8.37878e+002               ,   3.15817e-001             ,   08:02:50                ,   00:00:01                 ,  -2.50992e+001           ,   1.77026e+001             ,  -3.01190e+005           ,   2.12431e-001             ,   4.99386e+005             ,   1.44721e+002             ,  -2.51501e+003               ,   3.61937e-001             ,   08:02:56                ,   00:00:01                 ,  -7.54955e+001           ,   9.74100e+000             ,  -9.05946e+005           ,   1.16892e-001             ,   5.00000e+005             ,   2.79708e+001             ,  -1.00000e+003               ,   7.00068e-002             ,   
