Set   ,   Time[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Con[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   SCD[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Shift[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Squeeze[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Time[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Con[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   SCD[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Shift[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Squeeze[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Time[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Con[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   SCD[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Shift[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Squeeze[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Time[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Con[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   SCD[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Shift[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Squeeze[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Time[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Con[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   SCD[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Shift[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Squeeze[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Time[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Con[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   SCD[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Shift[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Squeeze[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Time[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Con[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   SCD[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Shift[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Squeeze[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Time[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Con[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   SCD[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Shift[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Squeeze[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Time[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Con[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   SCD[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Shift[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Squeeze[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Time[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Con[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   SCD[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Shift[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Squeeze[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Time[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Con[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   SCD[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Shift[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Squeeze[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Time[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Con[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   SCD[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Shift[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Squeeze[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Time[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Con[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   SCD[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Shift[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Squeeze[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Time[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Con[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   SCD[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Shift[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Squeeze[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Time[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Con[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   SCD[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Shift[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Squeeze[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Time[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Con[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   SCD[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Shift[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Squeeze[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Time[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Con[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   SCD[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Shift[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Squeeze[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Time[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Con[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   SCD[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Shift[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Squeeze[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Time[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Con[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   SCD[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Shift[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Squeeze[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Time[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Con[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   SCD[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Shift[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Squeeze[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Time[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Con[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   SCD[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Shift[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Squeeze[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Time[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Con[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   SCD[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Shift[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Squeeze[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Time[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Con[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   SCD[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Shift[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Squeeze[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Time[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Con[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   SCD[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Shift[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Squeeze[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Time[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Con[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   SCD[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Shift[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Squeeze[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Time[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Con[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   SCD[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Shift[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Squeeze[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Time[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Con[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   SCD[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Shift[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Squeeze[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Time[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Con[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   SCD[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Shift[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Squeeze[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Time[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Con[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   SCD[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Shift[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Squeeze[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Time[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Con[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   SCD[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Shift[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Squeeze[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Time[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Con[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   SCD[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Shift[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Squeeze[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Time[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Con[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   SCD[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Shift[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Squeeze[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Time[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Con[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   SCD[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Shift[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Squeeze[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   
---   ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   
001   ,   08:00:08                ,   00:00:01                 ,   5.77777e+000           ,   2.01926e+000             ,   6.93332e+004           ,   2.42311e-002             ,   5.00000e+005             ,   4.19525e+001             ,  -1.00000e+003               ,   1.07458e-001             ,   08:01:14                ,   00:00:01                 ,   4.76212e+000           ,   1.10988e+000             ,   5.71455e+004           ,   1.33185e-002             ,   5.00000e+005             ,   2.78077e+001             ,  -10.00000e+002               ,   7.11685e-002             ,   08:02:20                ,   00:00:01                 ,   2.29470e+000           ,   6.66758e-001             ,   2.75364e+004           ,   8.00110e-003             ,   5.00000e+005             ,   3.46683e+001             ,  -10.00000e+002               ,   8.87270e-002             ,   08:00:14                ,   00:00:01                 ,   6.36558e+000           ,   1.17216e+000             ,   7.63869e+004           ,   1.40659e-002             ,   5.00000e+005             ,   2.19704e+001             ,  -1.00000e+003               ,   5.62291e-002             ,   08:01:08                ,   00:00:01                 ,   4.04449e+000           ,   1.12942e+000             ,   4.85339e+004           ,   1.35530e-002             ,   5.00000e+005             ,   3.33182e+001             ,  -10.00000e+002               ,   8.52718e-002             ,   08:01:20                ,   00:00:01                 ,   5.24412e+000           ,   1.28073e+000             ,   6.29294e+004           ,   1.53687e-002             ,   5.00000e+005             ,   2.91390e+001             ,  -1.00000e+003               ,   7.45758e-002             ,   08:02:14                ,   00:00:01                 ,   2.41251e+000           ,   1.23108e+000             ,   2.89502e+004           ,   1.47730e-002             ,   5.00000e+005             ,   6.08845e+001             ,  -10.00000e+002               ,   1.55823e-001             ,   08:02:26                ,   00:00:01                 ,   5.78934e+000           ,   1.11598e+000             ,   6.94721e+004           ,   1.33917e-002             ,   5.00000e+005             ,   2.29994e+001             ,  -1.00000e+003               ,   5.88626e-002             ,   08:03:20                ,   00:00:01                 ,   3.05365e+000           ,   7.38148e-001             ,   3.66438e+004           ,   8.85777e-003             ,   5.00000e+005             ,   2.88413e+001             ,  -10.00000e+002               ,   7.38139e-002             ,   08:00:20                ,   00:00:01                 ,   6.66666e+000           ,   9.92672e-001             ,   7.99999e+004           ,   1.19121e-002             ,   5.00000e+005             ,   1.77659e+001             ,  -1.00000e+003               ,   4.54686e-002             ,   08:01:02                ,   00:00:01                 ,   7.82271e+000           ,   1.38456e+000             ,   9.38726e+004           ,   1.66148e-002             ,   5.00000e+005             ,   2.11177e+001             ,  -1.00000e+003               ,   5.40467e-002             ,   08:01:26                ,   00:00:01                 ,   5.84753e+000           ,   1.02895e+000             ,   7.01703e+004           ,   1.23474e-002             ,   5.00000e+005             ,   2.09948e+001             ,  -1.00000e+003               ,   5.37323e-002             ,   08:02:08                ,   00:00:01                 ,   2.83767e+000           ,   9.17267e-001             ,   3.40521e+004           ,   1.10072e-002             ,   5.00000e+005             ,   3.85677e+001             ,  -10.00000e+002               ,   9.87069e-002             ,   08:02:32                ,   00:00:01                 ,   6.60689e+000           ,   9.49415e-001             ,   7.92827e+004           ,   1.13930e-002             ,   5.00000e+005             ,   1.71455e+001             ,  -10.00000e+002               ,   4.38806e-002             ,   08:03:14                ,   00:00:01                 ,   5.76836e+000           ,   1.32079e+000             ,   6.92203e+004           ,   1.58495e-002             ,   5.00000e+005             ,   2.73195e+001             ,  -10.00000e+002               ,   6.99192e-002             ,   08:00:26                ,   00:00:01                 ,   8.76014e+000           ,   1.24042e+000             ,   1.05122e+005           ,   1.48850e-002             ,   5.00000e+005             ,   1.68946e+001             ,  -1.00000e+003               ,   4.32385e-002             ,   08:00:56                ,   00:00:01                 ,   6.00619e+000           ,   8.94465e-001             ,   7.20743e+004           ,   1.07336e-002             ,   5.00000e+005             ,   1.77686e+001             ,  -1.00000e+003               ,   4.54755e-002             ,   08:01:32                ,   00:00:01                 ,   5.54294e+000           ,   9.47797e-001             ,   6.65153e+004           ,   1.13736e-002             ,   5.00000e+005             ,   2.04017e+001             ,  -10.00000e+002               ,   5.22143e-002             ,   08:02:02                ,   00:00:01                 ,   1.36537e+000           ,   8.00821e-001             ,   1.63845e+004           ,   9.60985e-003             ,   5.00000e+005             ,   6.99801e+001             ,  -10.00000e+002               ,   1.79101e-001             ,   08:02:38                ,   00:00:01                 ,   4.65113e+000           ,   1.41574e+000             ,   5.58139e+004           ,   1.69890e-002             ,   5.00000e+005             ,   3.60956e+001             ,  -10.00000e+002               ,   9.23805e-002             ,   08:03:08                ,   00:00:01                 ,   2.98935e+000           ,   7.86529e-001             ,   3.58722e+004           ,   9.43835e-003             ,   5.00000e+005             ,   3.13927e+001             ,  -1.00000e+003               ,   8.03438e-002             ,   08:00:32                ,   00:00:01                 ,   8.31690e+000           ,   1.65851e+000             ,   9.98028e+004           ,   1.99021e-002             ,   5.00000e+005             ,   2.37928e+001             ,  -10.00000e+002               ,   6.08933e-002             ,   08:00:50                ,   00:00:01                 ,   6.92047e+000           ,   9.49325e-001             ,   8.30456e+004           ,   1.13919e-002             ,   5.00000e+005             ,   1.63670e+001             ,  -10.00000e+002               ,   4.18884e-002             ,   08:01:38                ,   00:00:01                 ,   6.05097e+000           ,   7.43561e-001             ,   7.26116e+004           ,   8.92273e-003             ,   5.00000e+005             ,   1.46616e+001             ,  -10.00000e+002               ,   3.75237e-002             ,   08:01:56                ,   00:00:01                 ,   1.97986e+000           ,   9.16911e-001             ,   2.37583e+004           ,   1.10029e-002             ,   5.00000e+005             ,   5.52565e+001             ,  -10.00000e+002               ,   1.41419e-001             ,   08:02:44                ,   00:00:01                 ,   4.31465e+000           ,   7.92766e-001             ,   5.17758e+004           ,   9.51320e-003             ,   5.00000e+005             ,   2.19225e+001             ,  -10.00000e+002               ,   5.61066e-002             ,   08:03:02                ,   00:00:01                 ,   3.21376e+000           ,   8.47490e-001             ,   3.85651e+004           ,   1.01699e-002             ,   5.00000e+005             ,   3.14639e+001             ,  -10.00000e+002               ,   8.05259e-002             ,   08:00:38                ,   00:00:01                 ,   6.12088e+000           ,   1.02451e+000             ,   7.34506e+004           ,   1.22942e-002             ,   5.00000e+005             ,   1.99707e+001             ,  -1.00000e+003               ,   5.11114e-002             ,   08:00:44                ,   00:00:01                 ,   6.63297e+000           ,   1.26999e+000             ,   7.95956e+004           ,   1.52399e-002             ,   5.00000e+005             ,   2.28446e+001             ,  -10.00000e+002               ,   5.84665e-002             ,   08:01:44                ,   00:00:01                 ,   2.95853e+000           ,   8.71457e-001             ,   3.55024e+004           ,   1.04575e-002             ,   5.00000e+005             ,   3.51447e+001             ,  -10.00000e+002               ,   8.99463e-002             ,   08:01:50                ,   00:00:01                 ,   3.31211e+000           ,   1.02172e+000             ,   3.97453e+004           ,   1.22607e-002             ,   4.99263e+005             ,   3.93962e+001             ,  -3.01476e+003               ,   1.01028e-001             ,   08:02:50                ,   00:00:01                 ,   2.09021e+000           ,   1.53158e+000             ,   2.50825e+004           ,   1.83790e-002             ,   5.00476e+005             ,   9.19313e+001             ,   3.08899e+002               ,   2.35734e-001             ,   08:02:56                ,   00:00:01                 ,   3.90947e+000           ,   8.64082e-001             ,   4.69136e+004           ,   1.03690e-002             ,   5.00000e+005             ,   2.63711e+001             ,  -10.00000e+002               ,   6.74919e-002             ,   
