Set   ,   Time[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Con[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Dis[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Shift[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Squeeze[azi_000_ele_000]   ,   Error[azi_000_ele_000]   ,   Time[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Con[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Dis[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Shift[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Squeeze[azi_000_ele_030]   ,   Error[azi_000_ele_030]   ,   Time[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Con[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Dis[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Shift[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Squeeze[azi_000_ele_075]   ,   Error[azi_000_ele_075]   ,   Time[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Con[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Dis[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Shift[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Squeeze[azi_030_ele_000]   ,   Error[azi_030_ele_000]   ,   Time[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Con[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Dis[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Shift[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Squeeze[azi_030_ele_015]   ,   Error[azi_030_ele_015]   ,   Time[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Con[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Dis[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Shift[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Squeeze[azi_030_ele_030]   ,   Error[azi_030_ele_030]   ,   Time[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Con[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Dis[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Shift[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Squeeze[azi_030_ele_060]   ,   Error[azi_030_ele_060]   ,   Time[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Con[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Dis[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Shift[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Squeeze[azi_030_ele_075]   ,   Error[azi_030_ele_075]   ,   Time[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Con[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Dis[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Shift[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Squeeze[azi_030_ele_090]   ,   Error[azi_030_ele_090]   ,   Time[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Con[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Dis[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Shift[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Squeeze[azi_060_ele_000]   ,   Error[azi_060_ele_000]   ,   Time[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Con[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Dis[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Shift[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Squeeze[azi_060_ele_015]   ,   Error[azi_060_ele_015]   ,   Time[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Con[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Dis[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Shift[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Squeeze[azi_060_ele_030]   ,   Error[azi_060_ele_030]   ,   Time[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Con[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Dis[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Shift[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Squeeze[azi_060_ele_060]   ,   Error[azi_060_ele_060]   ,   Time[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Con[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Dis[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Shift[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Squeeze[azi_060_ele_075]   ,   Error[azi_060_ele_075]   ,   Time[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Con[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Dis[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Shift[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Squeeze[azi_060_ele_090]   ,   Error[azi_060_ele_090]   ,   Time[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Con[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Dis[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Shift[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Squeeze[azi_090_ele_000]   ,   Error[azi_090_ele_000]   ,   Time[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Con[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Dis[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Shift[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Squeeze[azi_090_ele_015]   ,   Error[azi_090_ele_015]   ,   Time[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Con[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Dis[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Shift[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Squeeze[azi_090_ele_030]   ,   Error[azi_090_ele_030]   ,   Time[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Con[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Dis[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Shift[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Squeeze[azi_090_ele_060]   ,   Error[azi_090_ele_060]   ,   Time[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Con[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Dis[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Shift[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Squeeze[azi_090_ele_075]   ,   Error[azi_090_ele_075]   ,   Time[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Con[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Dis[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Shift[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Squeeze[azi_090_ele_090]   ,   Error[azi_090_ele_090]   ,   Time[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Con[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Dis[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Shift[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Squeeze[azi_120_ele_000]   ,   Error[azi_120_ele_000]   ,   Time[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Con[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Dis[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Shift[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Squeeze[azi_120_ele_015]   ,   Error[azi_120_ele_015]   ,   Time[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Con[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Dis[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Shift[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Squeeze[azi_120_ele_030]   ,   Error[azi_120_ele_030]   ,   Time[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Con[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Dis[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Shift[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Squeeze[azi_120_ele_060]   ,   Error[azi_120_ele_060]   ,   Time[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Con[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Dis[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Shift[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Squeeze[azi_120_ele_075]   ,   Error[azi_120_ele_075]   ,   Time[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Con[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Dis[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Shift[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Squeeze[azi_120_ele_090]   ,   Error[azi_120_ele_090]   ,   Time[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Con[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Dis[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Shift[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Squeeze[azi_150_ele_000]   ,   Error[azi_150_ele_000]   ,   Time[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Con[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Dis[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Shift[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Squeeze[azi_150_ele_015]   ,   Error[azi_150_ele_015]   ,   Time[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Con[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Dis[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Shift[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Squeeze[azi_150_ele_030]   ,   Error[azi_150_ele_030]   ,   Time[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Con[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Dis[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Shift[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Squeeze[azi_150_ele_060]   ,   Error[azi_150_ele_060]   ,   Time[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Con[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Dis[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Shift[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Squeeze[azi_150_ele_075]   ,   Error[azi_150_ele_075]   ,   Time[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Con[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Dis[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Shift[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   Squeeze[azi_150_ele_090]   ,   Error[azi_150_ele_090]   ,   
---   ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   HH:MM:SS                ,   HH:MM:SS                 ,   ug/m3                  ,   ug/m3                    ,   molecules/m2           ,   molecules/m2             ,   nm                       ,   nm                       ,   -                          ,   -                        ,   
001   ,   08:00:08                ,   00:00:01                 ,   1.79933e-025           ,   2.98835e-024             ,   2.15919e-027           ,   3.58601e-026             ,  -10.00000e-004             ,   5.45812e+000             ,  -10.00000e-004               ,   5.45812e+000             ,   08:01:14                ,   00:00:01                 ,  -1.65416e-024           ,   1.64194e-024             ,  -1.98499e-026           ,   1.97032e-026             ,  -10.00000e-004             ,   1.15219e-001             ,  -10.00000e-004               ,   1.15219e-001             ,   08:02:20                ,   00:00:01                 ,  -8.88434e-025           ,   9.86393e-025             ,  -1.06612e-026           ,   1.18367e-026             ,  -1.00000e-003             ,   4.83489e-002             ,  -1.00000e-003               ,   4.83489e-002             ,   08:00:14                ,   00:00:01                 ,  -1.84691e-024           ,   1.73407e-024             ,  -2.21629e-026           ,   2.08089e-026             ,  -10.00000e-004             ,   8.33591e-002             ,  -10.00000e-004               ,   8.33591e-002             ,   08:01:08                ,   00:00:01                 ,   4.14692e-025           ,   1.67085e-024             ,   4.97631e-027           ,   2.00502e-026             ,  -10.00000e-004             ,   3.53459e-001             ,  -10.00000e-004               ,   3.53459e-001             ,   08:01:20                ,   00:00:01                 ,   2.25861e-025           ,   1.89469e-024             ,   2.71033e-027           ,   2.27363e-026             ,  -10.00000e-004             ,   9.36212e-001             ,  -10.00000e-004               ,   9.36212e-001             ,   08:02:14                ,   00:00:01                 ,  -1.38510e-024           ,   1.82124e-024             ,  -1.66212e-026           ,   2.18549e-026             ,  -1.00000e-003             ,   1.39593e-001             ,  -1.00000e-003               ,   1.39593e-001             ,   08:02:26                ,   00:00:01                 ,  -3.93879e-025           ,   1.65096e-024             ,  -4.72654e-027           ,   1.98115e-026             ,  -1.00000e-003             ,   1.36935e-001             ,  -1.00000e-003               ,   1.36935e-001             ,   08:03:20                ,   00:00:01                 ,  -1.24794e-024           ,   1.09201e-024             ,  -1.49753e-026           ,   1.31041e-026             ,  -1.00000e-003             ,   4.88255e-002             ,  -1.00000e-003               ,   4.88255e-002             ,   08:00:20                ,   00:00:01                 ,  -9.20622e-025           ,   1.46855e-024             ,  -1.10475e-026           ,   1.76226e-026             ,  -10.00000e-004             ,   6.64165e-002             ,  -10.00000e-004               ,   6.64165e-002             ,   08:01:02                ,   00:00:01                 ,  -1.28976e-024           ,   2.04830e-024             ,  -1.54771e-026           ,   2.45797e-026             ,  -10.00000e-004             ,   1.17334e-001             ,  -10.00000e-004               ,   1.17334e-001             ,   08:01:26                ,   00:00:01                 ,  -3.86379e-025           ,   1.52221e-024             ,  -4.63655e-027           ,   1.82666e-026             ,  -10.00000e-004             ,   4.34378e-001             ,  -10.00000e-004               ,   4.34378e-001             ,   08:02:08                ,   00:00:01                 ,  -1.28053e-024           ,   1.35699e-024             ,  -1.53664e-026           ,   1.62839e-026             ,  -1.00000e-003             ,   8.70538e-002             ,  -1.00000e-003               ,   8.70538e-002             ,   08:02:32                ,   00:00:01                 ,  -1.18671e-024           ,   1.40455e-024             ,  -1.42405e-026           ,   1.68546e-026             ,  -1.00000e-003             ,   7.40144e-002             ,  -1.00000e-003               ,   7.40144e-002             ,   08:03:14                ,   00:00:01                 ,  -6.78855e-025           ,   1.95396e-024             ,  -8.14626e-027           ,   2.34476e-026             ,  -1.00000e-003             ,   8.27687e-002             ,  -1.00000e-003               ,   8.27687e-002             ,   08:00:26                ,   00:00:01                 ,  -1.06757e-024           ,   1.83505e-024             ,  -1.28108e-026           ,   2.20207e-026             ,  -10.00000e-004             ,   1.13271e-001             ,  -10.00000e-004               ,   1.13271e-001             ,   08:00:56                ,   00:00:01                 ,  -7.70813e-025           ,   1.32326e-024             ,  -9.24976e-027           ,   1.58791e-026             ,  -10.00000e-004             ,   1.07450e-001             ,  -10.00000e-004               ,   1.07450e-001             ,   08:01:32                ,   00:00:01                 ,  -1.07670e-024           ,   1.40216e-024             ,  -1.29204e-026           ,   1.68259e-026             ,  -10.00000e-004             ,   9.78795e-002             ,  -10.00000e-004               ,   9.78795e-002             ,   08:02:02                ,   00:00:01                 ,  -1.28104e-024           ,   1.18472e-024             ,  -1.53725e-026           ,   1.42167e-026             ,  -1.00000e-003             ,   5.10218e-002             ,  -1.00000e-003               ,   5.10218e-002             ,   08:02:38                ,   00:00:01                 ,  -2.87117e-024           ,   2.08977e-024             ,  -3.44543e-026           ,   2.50774e-026             ,  -1.00000e-003             ,   3.44433e-001             ,  -1.00000e-003               ,   3.44433e-001             ,   08:03:08                ,   00:00:01                 ,  -2.07832e-024           ,   1.16358e-024             ,  -2.49399e-026           ,   1.39630e-026             ,  -1.00000e-003             ,   9.34103e-002             ,  -1.00000e-003               ,   9.34103e-002             ,   08:00:32                ,   00:00:01                 ,  -4.69576e-025           ,   2.45357e-024             ,  -5.63491e-027           ,   2.94429e-026             ,  -10.00000e-004             ,   1.01706e-001             ,  -10.00000e-004               ,   1.01706e-001             ,   08:00:50                ,   00:00:01                 ,  -6.66028e-026           ,   1.40442e-024             ,  -7.99234e-028           ,   1.68530e-026             ,  -10.00000e-004             ,   2.34121e-001             ,  -10.00000e-004               ,   2.34121e-001             ,   08:01:38                ,   00:00:01                 ,  -1.65243e-024           ,   1.10001e-024             ,  -1.98292e-026           ,   1.32002e-026             ,  -1.00000e-003             ,   5.93849e-001             ,  -1.00000e-003               ,   5.93849e-001             ,   08:01:56                ,   00:00:01                 ,  -1.89847e-024           ,   1.35647e-024             ,  -2.27816e-026           ,   1.62776e-026             ,  -1.00000e-003             ,   7.40771e-002             ,  -1.00000e-003               ,   7.40771e-002             ,   08:02:44                ,   00:00:01                 ,  -1.52440e-024           ,   1.17281e-024             ,  -1.82928e-026           ,   1.40737e-026             ,  -1.00000e-003             ,   1.13049e-001             ,  -1.00000e-003               ,   1.13049e-001             ,   08:03:02                ,   00:00:01                 ,  -1.40626e-024           ,   1.25377e-024             ,  -1.68751e-026           ,   1.50452e-026             ,  -1.00000e-003             ,   4.93962e-002             ,  -1.00000e-003               ,   4.93962e-002             ,   08:00:38                ,   00:00:01                 ,  -9.03636e-025           ,   1.51565e-024             ,  -1.08436e-026           ,   1.81878e-026             ,  -10.00000e-004             ,   1.45802e-001             ,  -10.00000e-004               ,   1.45802e-001             ,   08:00:44                ,   00:00:01                 ,  -4.51737e-025           ,   1.87881e-024             ,  -5.42085e-027           ,   2.25457e-026             ,  -10.00000e-004             ,   9.80664e-002             ,  -10.00000e-004               ,   9.80664e-002             ,   08:01:44                ,   00:00:01                 ,  -1.75532e-024           ,   1.28922e-024             ,  -2.10639e-026           ,   1.54707e-026             ,  -1.00000e-003             ,   2.72001e-001             ,  -1.00000e-003               ,   2.72001e-001             ,   08:01:50                ,   00:00:01                 ,  -1.63566e-024           ,   1.63761e-024             ,  -1.96279e-026           ,   1.96513e-026             ,  -8.37878e-004             ,   3.15817e-001             ,  -8.37878e-004               ,   3.15817e-001             ,   08:02:50                ,   00:00:01                 ,  -2.68409e-024           ,   2.33426e-024             ,  -3.22090e-026           ,   2.80110e-026             ,  -2.51501e-003             ,   3.61937e-001             ,  -2.51501e-003               ,   3.61937e-001             ,   08:02:56                ,   00:00:01                 ,  -1.24527e-024           ,   1.27831e-024             ,  -1.49433e-026           ,   1.53397e-026             ,  -1.00000e-003             ,   7.00068e-002             ,  -1.00000e-003               ,   7.00068e-002             ,   
