Wavelength	Intensities	
nm	a.u.	
179.22	1904.6	
179.44	1907.3	
179.65	1901.9	
179.86	1912.8	
180.08	1906	
180.29	4949.9	
180.51	3523.2	
180.72	5697.4	
180.94	6691.4	
181.15	3253.5	
181.37	3180.5	
181.58	5540.4	
181.79	5827.8	
182.01	3390.8	
182.22	3607.8	
182.44	5774.6	
182.65	4876.2	
182.87	4606.6	
183.08	4063.9	
183.29	6050.4	
183.51	4980	
183.72	3708.2	
183.94	5375.9	
184.15	5408.7	
184.37	5457.8	
184.58	3229.6	
184.79	4414.7	
185.01	5034.6	
185.22	5790.3	
185.44	4720.6	
185.65	3880.9	
185.86	5287.2	
186.08	4894.6	
186.29	3106.1	
186.51	3376.4	
186.72	4974.5	
186.94	5911.8	
187.15	3936.2	
187.36	4035.2	
187.58	7746.1	
187.79	5508.4	
188.01	4153.3	
188.22	6619.7	
188.43	6686.6	
188.65	5715.9	
188.86	3401.7	
189.08	4008.6	
189.29	5246.9	
189.5	5218.9	
189.72	3727.3	
189.93	3796.3	
190.15	5901.6	
190.36	7217.7	
190.57	4188.1	
190.79	3982.6	
191	6078.4	
191.22	6080.4	
191.43	4174.4	
191.64	3343.7	
191.86	6285.9	
192.07	6042.2	
192.29	3574.4	
192.5	3728.7	
192.71	5973.2	
192.93	5102.9	
193.14	3753.2	
193.35	3804.4	
193.57	5223.7	
193.78	5965.1	
194	3020.1	
194.21	3664.5	
194.42	4954.7	
194.64	5468.1	
194.85	4042	
195.07	4754	
195.28	5477.6	
195.49	4689.2	
195.71	4993.6	
195.92	3497.9	
196.13	5648.3	
196.35	5797.1	
196.56	5289.9	
196.78	4048.2	
196.99	7031.4	
197.2	6669.6	
197.42	4665.3	
197.63	4132.8	
197.84	4898.7	
198.06	5659.2	
198.27	3779.9	
198.48	5051.7	
198.7	5227.1	
198.91	5362.3	
199.13	4129.4	
199.34	4100.7	
199.55	5824.4	
199.77	4731.5	
199.98	3605.1	
200.19	4087.7	
200.41	5334.3	
200.62	4990.9	
200.83	4246.8	
201.05	4592.2	
201.26	5353.4	
201.47	5050.3	
201.69	3616.7	
201.9	3482.9	
202.11	5399.8	
202.33	6431.3	
202.54	3893.2	
202.76	4328	
202.97	5547.9	
203.18	5550.7	
203.4	4304.8	
203.61	4085	
203.82	5488.6	
204.04	5074.2	
204.25	4173.8	
204.46	3994.9	
204.68	5469.4	
204.89	5636.7	
205.1	3994.9	
205.32	3419.4	
205.53	5811.5	
205.74	5994.4	
205.96	2911.5	
206.17	4183.3	
206.38	5811.5	
206.6	5928.9	
206.81	4749.2	
207.02	3768.3	
207.24	5642.2	
207.45	6122.1	
207.66	3861.1	
207.88	3340.9	
208.09	5595.7	
208.3	5402.5	
208.52	3523.9	
208.73	3812	
208.94	5464.7	
209.15	6139.1	
209.37	3850.2	
209.58	4078.9	
209.79	5970.5	
210.01	5231.9	
210.22	3127.9	
210.43	3248.8	
210.65	5427.1	
210.86	5905.7	
211.07	3880.2	
211.29	3590.8	
211.5	5826.5	
211.71	5331.5	
211.93	3533.4	
212.14	3520.5	
212.35	5317.2	
212.56	5627.1	
212.78	4063.2	
212.99	3369.6	
213.2	6445.6	
213.42	5196.4	
213.63	3683.6	
213.84	3984.7	
214.06	4778.6	
214.27	4977.9	
214.48	3899.3	
214.69	4158.1	
214.91	6154.1	
215.12	6245.6	
215.33	4221.5	
215.55	4642.1	
215.76	6685.9	
215.97	5805.3	
216.18	4010.6	
216.4	3958.7	
216.61	5102.2	
216.82	5893.4	
217.04	3596.9	
217.25	3718.4	
217.46	6081.1	
217.67	5838.8	
217.89	3209.8	
218.1	3331.4	
218.31	5520	
218.53	5597.8	
218.74	3742.3	
218.95	3645.4	
219.16	5367.7	
219.38	6371.9	
219.59	3666.5	
219.8	4412	
220.01	7021.1	
220.23	5472.9	
220.44	4799.8	
220.65	3526.6	
220.87	5524.1	
221.08	6057.9	
221.29	3269.9	
221.5	4371.7	
221.72	7506.5	
221.93	5118.6	
222.14	4113.7	
222.35	4872.8	
222.57	5452.4	
222.78	5819	
222.99	3936.2	
223.2	4213.4	
223.42	5751.4	
223.63	5907.7	
223.84	2996.9	
224.05	2951.1	
224.27	6956.3	
224.48	6382.8	
224.69	4848.2	
224.9	4072	
225.12	5642.8	
225.33	5407.3	
225.54	3221.5	
225.75	3615.3	
225.97	4997.7	
226.18	5324.7	
226.39	3946.4	
226.6	3689.8	
226.82	5185.5	
227.03	5000.5	
227.24	4093.2	
227.45	3429.7	
227.67	5823.1	
227.88	6395.1	
228.09	4520.5	
228.3	4626.4	
228.52	5890	
228.73	5367.7	
228.94	3816	
229.15	3371.6	
229.36	5329.5	
229.58	5208.7	
229.79	3805.1	
230	4410.6	
230.21	6479.1	
230.43	5487.9	
230.64	4038.6	
230.85	4244.1	
231.06	5850.4	
231.28	5857.2	
231.49	3396.2	
231.7	3991.5	
231.91	5738.4	
232.12	5443.5	
232.34	3446	
232.55	3964.9	
232.76	6076.3	
232.97	5631.9	
233.18	3616	
233.4	4035.2	
233.61	5689.3	
233.82	5137.7	
234.03	3734.8	
234.25	3712.3	
234.46	7518.8	
234.67	5481	
234.88	4212	
235.09	3648.8	
235.31	5760.3	
235.52	5280.3	
235.73	4024.9	
235.94	3385.3	
236.15	5167.7	
236.37	6610.8	
236.58	3643.3	
236.79	3922.5	
237	5764.3	
237.21	4945.2	
237.43	4272.1	
237.64	3288.4	
237.85	9949	
238.06	4967	
238.27	4289.8	
238.48	3420.1	
238.7	5751.4	
238.91	5289.2	
239.12	3864.5	
239.33	3990.8	
239.54	5005.9	
239.76	5393	
239.97	3902.7	
240.18	3970.3	
240.39	6817	
240.6	5703.6	
240.82	4083	
241.03	3289.7	
241.24	5489.2	
241.45	6342.6	
241.66	3595.6	
241.87	4212	
242.09	6241.5	
242.3	6609.5	
242.51	4224.3	
242.72	3967.6	
242.93	5885.2	
243.14	5365.7	
243.36	4546.5	
243.57	4898.1	
243.78	6271.6	
243.99	5829.9	
244.2	3951.2	
