Wavelength	Intensities	
nm	a.u.	
179.22	1682.2	
179.44	1676.9	
179.65	1687.5	
179.86	1666.4	
180.08	1735.3	
180.29	3951.9	
180.51	3093.1	
180.72	4989.5	
180.94	5686.5	
181.15	2738.1	
181.37	2736.8	
181.58	4778.6	
181.79	5086.5	
182.01	2897.9	
182.22	3015.3	
182.44	5052.3	
182.65	4329.4	
182.87	3724.6	
183.08	3321.1	
183.29	5298.8	
183.51	4403.1	
183.72	3029.6	
183.94	4184	
184.15	4765.6	
184.37	4709.6	
184.58	2681.5	
184.79	3528	
185.01	4508.9	
185.22	5089.9	
185.44	3641.3	
185.65	3237.2	
185.86	4788.2	
186.08	4410.6	
186.29	2676.7	
186.51	2833.7	
186.72	4518.5	
186.94	5182.7	
187.15	3278.1	
187.36	3330	
187.58	6446.3	
187.79	4849.6	
188.01	3388.7	
188.22	5106.3	
188.43	5700.2	
188.65	5033.9	
188.86	2856.9	
189.08	3369.6	
189.29	4588.8	
189.5	4622.9	
189.72	2990	
189.93	3141.6	
190.15	5229.8	
190.36	6016.2	
190.57	3347.7	
190.79	3267.9	
191	5186.8	
191.22	5156.1	
191.43	3381.9	
191.64	2867.2	
191.86	5377.3	
192.07	5231.9	
192.29	2940.9	
192.5	3029.6	
192.71	5192.3	
192.93	4597.7	
193.14	3073.3	
193.35	3138.9	
193.57	4637.3	
193.78	5193.6	
194	2510.1	
194.21	3063.1	
194.42	4428.4	
194.64	4805.2	
194.85	3278.1	
195.07	3813.3	
195.28	4790.9	
195.49	4240	
195.71	3982.6	
195.92	2878.1	
196.13	4993.6	
196.35	4997.7	
196.56	4179.9	
196.78	3294.5	
196.99	5967.8	
197.2	5636.7	
197.42	3666.5	
197.63	3331.4	
197.84	4313.7	
198.06	4897.4	
198.27	3095.2	
198.48	3937.6	
198.7	4635.9	
198.91	4754	
199.13	3411.2	
199.34	3349.1	
199.55	5209.3	
199.77	4184	
199.98	2989.4	
200.19	3362.1	
200.41	4753.3	
200.62	4482.3	
200.83	3391.4	
201.05	3666.5	
201.26	4720.6	
201.47	4543.1	
