Wavelength	Intensities	
nm	a.u.	
179.22	1746.1	
179.44	1732.2	
179.65	1759.9	
179.86	1704.6	
180.08	1755.1	
180.29	4053.6	
180.51	3047.4	
180.72	5027.8	
180.94	5691.3	
181.15	2828.9	
181.37	2735.4	
181.58	4885.1	
181.79	5109	
182.01	2879.4	
182.22	3096.5	
182.44	5162.2	
182.65	4399	
182.87	3787.4	
183.08	3334.1	
183.29	5335.6	
183.51	4475.5	
183.72	3093.1	
183.94	4286.4	
184.15	4853	
184.37	4747.2	
184.58	2736.1	
184.79	3616.7	
185.01	4487.1	
185.22	5188.9	
185.44	3830.4	
185.65	3245.3	
185.86	4797.7	
186.08	4428.4	
186.29	2731.3	
186.51	2878.1	
186.72	4538.3	
186.94	5215.5	
187.15	3258.3	
187.36	3372.3	
187.58	6534.4	
187.79	4949.3	
188.01	3437.2	
188.22	5193.6	
188.43	5741.1	
188.65	5067.4	
188.86	2917.7	
189.08	3390.8	
189.29	4659.1	
189.5	4641.4	
189.72	3088.3	
189.93	3190.7	
190.15	5241.4	
190.36	6140.5	
190.57	3418.7	
190.79	3310.9	
191	5258.5	
191.22	5279.7	
191.43	3390.1	
191.64	2910.2	
191.86	5468.8	
192.07	5304.2	
192.29	3005.7	
192.5	3125.2	
192.71	5203.2	
192.93	4611.3	
193.14	3072.6	
193.35	3138.9	
193.57	4545.1	
193.78	5195.7	
194	2555.2	
194.21	3056.9	
194.42	4505.5	
194.64	4831.2	
194.85	3347.1	
195.07	3904.8	
195.28	4840	
195.49	4241.3	
195.71	3992.2	
195.92	2970.9	
196.13	5023	
196.35	5069.4	
196.56	4316.4	
196.78	3370.3	
196.99	5967.1	
197.2	5662.6	
197.42	3805.8	
197.63	3377.8	
197.84	4420.2	
198.06	5002.5	
198.27	3081.5	
198.48	4073.4	
198.7	4674.1	
198.91	4761.5	
199.13	3346.4	
199.34	3330.7	
199.55	5217.5	
199.77	4184	
199.98	3047.4	
200.19	3418.7	
200.41	4697.4	
200.62	4495.3	
200.83	3543	
201.05	3734.1	
201.26	4782	
201.47	4576.5	
201.69	3083.6	
201.9	2938.2	
202.11	4805.2	
202.33	5557.5	
202.54	3205.8	
202.76	3516.4	
202.97	4844.1	
203.18	4915.8	
203.4	3483.6	
203.61	3530	
203.82	4882.4	
204.04	4591.5	
204.25	3374.4	
204.46	3358.7	
204.68	4812	
204.89	5042.1	
