Wavelength	Intensities	
nm	a.u.	
179.22	1907.3	
179.44	1906.7	
179.65	1908	
179.86	1905.3	
180.08	1909.4	
180.29	4812	
180.51	3499.3	
180.72	5619.6	
180.94	6569.2	
181.15	3207.8	
181.37	3167.5	
181.58	5487.2	
181.79	5760.9	
182.01	3330	
182.22	3571.7	
182.44	5804.6	
182.65	4762.2	
182.87	4517.8	
183.08	3994.2	
183.29	6070.2	
183.51	4992.3	
183.72	3642	
183.94	5352	
184.15	5412.1	
184.37	5386.2	
184.58	3207.8	
184.79	4417.5	
185.01	5046.2	
185.22	5763.7	
185.44	4666.6	
185.65	3938.2	
185.86	5311.1	
186.08	4937.7	
186.29	3098.6	
186.51	3373	
186.72	5003.9	
186.94	5991	
187.15	3936.2	
187.36	4018.1	
187.58	7757.7	
187.79	5547.9	
188.01	4236.6	
188.22	6567.8	
188.43	6619.7	
188.65	5726.8	
188.86	3322.5	
189.08	4027	
189.29	5238.7	
189.5	5248.9	
189.72	3757.3	
189.93	3833.8	
190.15	5999.9	
190.36	7150.8	
190.57	3908.2	
190.79	3949.2	
191	5983.5	
191.22	5984.8	
191.43	4087.1	
191.64	3345	
191.86	6290	
192.07	5957.5	
192.29	3512.3	
192.5	3725.9	
192.71	5984.2	
192.93	5151.3	
193.14	3666.5	
193.35	3786.7	
193.57	5174.5	
193.78	5947.3	
194	3011.2	
194.21	3622.9	
194.42	4909.7	
194.64	5453.1	
194.85	4034.5	
195.07	4683.7	
195.28	5507	
195.49	4727.4	
195.71	4959.5	
195.92	3458.3	
196.13	5631.2	
196.35	5698.1	
196.56	5279.7	
196.78	4006.5	
196.99	7027.3	
197.2	6604.7	
197.42	4558.1	
197.63	4119.8	
197.84	4816.8	
198.06	5564.3	
198.27	3697.3	
198.48	5001.1	
198.7	5171.1	
198.91	5323.4	
199.13	4120.5	
199.34	4069.3	
199.55	5827.8	
199.77	4708.3	
199.98	3527.3	
200.19	4132.8	
200.41	5300.8	
200.62	5002.5	
200.83	4244.8	
201.05	4501.4	
201.26	5312.4	
201.47	5049.6	
201.69	3601.7	
201.9	3452.2	
202.11	5382.1	
202.33	6397.2	
202.54	3826.3	
202.76	4289.8	
202.97	5541.1	
203.18	5534.3	
203.4	4201.1	
203.61	4100.7	
203.82	5467.4	
204.04	5089.2	
204.25	4128	
204.46	4030.4	
204.68	5455.8	
204.89	5632.6	
205.1	3917.1	
205.32	3441.3	
205.53	5840.8	
205.74	5988.3	
205.96	2975	
206.17	4138.9	
206.38	5785.5	
206.6	5891.3	
206.81	4646.2	
207.02	3799.7	
207.24	5659.9	
207.45	6098.9	
207.66	3893.2	
207.88	3300.6	
208.09	5550	
208.3	5397.8	
208.52	3494.5	
208.73	3966.9	
208.94	5430.5	
209.15	6054.5	
209.37	3896.6	
209.58	4029.7	
209.79	5926.8	
210.01	5248.9	
210.22	3085.6	
210.43	3283.6	
210.65	5459.2	
210.86	5872.9	
211.07	3886.4	
211.29	3553.2	
211.5	5814.2	
211.71	5380	
211.93	3515.7	
212.14	3594.2	
212.35	5326.1	
212.56	5561.6	
212.78	4127.3	
212.99	3378.5	
213.2	6356.2	
213.42	5180	
213.63	3648.8	
213.84	3907.5	
214.06	4773.8	
214.27	4934.9	
214.48	3850.2	
214.69	4158.7	
214.91	6092.7	
215.12	6112.5	
215.33	4177.9	
215.55	4582.7	
215.76	6634.1	
215.97	5747.3	
216.18	3993.5	
216.4	3919.8	
216.61	5104.2	
216.82	5963	
217.04	3535.5	
217.25	3702.7	
217.46	6072.9	
217.67	5802.6	
217.89	3207.1	
218.1	3310.2	
218.31	5493.3	
218.53	5581.4	
218.74	3766.2	
218.95	3657	
219.16	5384.1	
219.38	6333.7	
219.59	3637.2	
219.8	4310.3	
220.01	6986.3	
220.23	5412.1	
220.44	4736.3	
220.65	3583.3	
220.87	5418.2	
221.08	6051.7	
221.29	3267.2	
221.5	4370.4	
221.72	7417.7	
221.93	5111.7	
222.14	4147.8	
222.35	4829.8	
222.57	5506.3	
222.78	5721.3	
222.99	3867.9	
223.2	4170.3	
223.42	5679	
223.63	5927.5	
223.84	2973	
224.05	2980.5	
224.27	6971.3	
224.48	6294.8	
224.69	4825	
224.9	4058.4	
225.12	5625.8	
225.33	5416.2	
225.54	3263.8	
225.75	3643.3	
225.97	5011.4	
226.18	5281.7	
226.39	3898	
226.6	3639.2	
226.82	5232.6	
227.03	5031.9	
227.24	4052.2	
227.45	3404.4	
227.67	5796.4	
227.88	6324.1	
228.09	4588.1	
228.3	4562.2	
228.52	5882.4	
228.73	5356.8	
228.94	3761.4	
229.15	3409.2	
229.36	5298.1	
229.58	5298.1	
229.79	3820.1	
230	4461.8	
230.21	6408.8	
230.43	5531.6	
230.64	4046.8	
230.85	4196.3	
231.06	5821	
231.28	5835.3	
231.49	3349.1	
231.7	3941	
231.91	5726.1	
232.12	5470.8	
232.34	3499.3	
232.55	3977.8	
232.76	6021	
232.97	5601.2	
233.18	3593.5	
233.4	3988.1	
233.61	5618.9	
233.82	5321.3	
234.03	3756.7	
234.25	3721.2	
234.46	7540.6	
234.67	5496.7	
234.88	4186	
235.09	3611.3	
235.31	5760.3	
235.52	5308.3	
235.73	4018.8	
235.94	3429	
236.15	5143.8	
236.37	6514.6	
236.58	3579.2	
236.79	3913	
237	5707.7	
237.21	4923.3	
