Wavelength	Intensities	
nm	a.u.	
179.22	1571.5	
179.44	1564	
179.65	1579	
179.86	1548.9	
180.08	1561.2	
180.29	3409.2	
180.51	2702.6	
180.72	4625.7	
180.94	5020.3	
181.15	2412.5	
181.37	2454.1	
181.58	4367	
181.79	4545.8	
182.01	2577.7	
182.22	2615.9	
182.44	4629.8	
182.65	4062.5	
182.87	3137.5	
183.08	2894.5	
183.29	4846.9	
183.51	4088.4	
183.72	2667.1	
183.94	3562.8	
184.15	4375.1	
184.37	4306.9	
184.58	2422.1	
184.79	3012.6	
185.01	4170.3	
185.22	4724.7	
185.44	3119.1	
185.65	2805.7	
185.86	4440.7	
186.08	4132.1	
186.29	2455.5	
186.51	2533.3	
186.72	4202.4	
186.94	4715.1	
187.15	2851.5	
187.36	2831.7	
187.58	5694.7	
187.79	4440.7	
188.01	2893.1	
188.22	4310.3	
188.43	5087.8	
188.65	4580.6	
188.86	2527.2	
189.08	2931.3	
189.29	4233.2	
189.5	4230.4	
189.72	2665.8	
189.93	2719	
190.15	4689.8	
190.36	5239.4	
190.57	2883.5	
190.79	2784.6	
191	4749.2	
191.22	4685.1	
191.43	2914.9	
191.64	2557.2	
191.86	4882.4	
192.07	4713.7	
192.29	2552.5	
192.5	2630.3	
192.71	4780	
192.93	4296.6	
193.14	2627.5	
193.35	2725.2	
193.57	4220.2	
193.78	4749.9	
194	2300.6	
194.21	2626.9	
194.42	4118.5	
194.64	4333.5	
194.85	2852.8	
195.07	3237.8	
195.28	4314.4	
195.49	3962.8	
195.71	3373	
195.92	2504.7	
196.13	4573.8	
196.35	4513	
196.56	3478.8	
196.78	2840.5	
196.99	5365.7	
197.2	4981.3	
197.42	3123.2	
197.63	2883.5	
197.84	4091.2	
198.06	4507.6	
198.27	2691.7	
198.48	3332.7	
198.7	4255.7	
198.91	4416.8	
199.13	2869.9	
199.34	2897.9	
199.55	4763.6	
199.77	3853.6	
199.98	2578.4	
200.19	2876.7	
200.41	4383.3	
200.62	4144.4	
200.83	2970.2	
201.05	3134.1	
201.26	4367.6	
201.47	4209.9	
201.69	2654.2	
201.9	2566.8	
202.11	4373.1	
202.33	4960.2	
202.54	2780.5	
202.76	3013.9	
