Wavelength	Intensities	
nm	a.u.	
179.22	1724	
179.44	1725.8	
179.65	1722.3	
179.86	1729.2	
180.08	1693	
180.29	3851.5	
180.51	2990.7	
180.72	4948.6	
180.94	5534.3	
181.15	2757.2	
181.37	2693.1	
181.58	4800.4	
181.79	4958.8	
182.01	2802.3	
182.22	2958.6	
182.44	5079.6	
182.65	4319.8	
182.87	3666.5	
183.08	3269.2	
183.29	5268.7	
183.51	4394.9	
183.72	2986.6	
183.94	4168.3	
184.15	4737.6	
184.37	4710.3	
184.58	2679.4	
184.79	3508.2	
185.01	4472.8	
185.22	5044.8	
185.44	3647.4	
185.65	3202.3	
185.86	4720.6	
186.08	4364.2	
186.29	2669.2	
186.51	2807.8	
186.72	4481	
186.94	5100.8	
187.15	3218.7	
187.36	3233.7	
187.58	6442.9	
187.79	4810.7	
188.01	3379.8	
188.22	5029.8	
188.43	5637.4	
188.65	4981.3	
188.86	2824.8	
189.08	3315	
189.29	4648.2	
189.5	4554.7	
189.72	3065.1	
189.93	3100.6	
190.15	5213.4	
190.36	5969.8	
190.57	3319.8	
190.79	3155.2	
191	5179.3	
191.22	5165.7	
191.43	3351.2	
191.64	2865.1	
191.86	5335.6	
192.07	5216.9	
192.29	2918.4	
192.5	3068.5	
192.71	5147.2	
192.93	4577.9	
193.14	3009.1	
193.35	3069.2	
193.57	4629.8	
193.78	5196.4	
194	2491	
194.21	2956.6	
194.42	4439.3	
194.64	4759.5	
194.85	3291.1	
195.07	3772.4	
195.28	4749.2	
195.49	4231.8	
195.71	3889.1	
195.92	2852.8	
196.13	4870.1	
196.35	4947.2	
196.56	4100	
196.78	3241.3	
196.99	5906.3	
197.2	5500.8	
197.42	3662.5	
197.63	3333.4	
197.84	4299.4	
198.06	4904.9	
198.27	3048.1	
198.48	3933.5	
198.7	4554.7	
198.91	4756.1	
199.13	3300	
199.34	3274.7	
199.55	5084.4	
199.77	4138.9	
199.98	2957.3	
200.19	3344.3	
200.41	4711	
200.62	4464.6	
200.83	3391.4	
201.05	3694.5	
201.26	4719.2	
201.47	4517.1	
201.69	3000.3	
201.9	2868.5	
202.11	4726.7	
202.33	5453.7	
202.54	3148.4	
202.76	3437.9	
202.97	4754	
203.18	4829.8	
203.4	3386.7	
203.61	3414	
203.82	4853.7	
204.04	4498	
204.25	3355.9	
204.46	3254.2	
204.68	4756.1	
204.89	4959.5	
205.1	3236.5	
205.32	2818	
205.53	5023.7	
205.74	5153.4	
205.96	2480.1	
206.17	3329.3	
206.38	5007.3	
206.6	5089.9	
206.81	3795.6	
207.02	3084.9	
207.24	4950.6	
207.45	5180	
207.66	3139.5	
207.88	2813.9	
208.09	4853.7	
208.3	4715.1	
208.52	2954.5	
208.73	3177.1	
208.94	4755.4	
209.15	5248.3	
209.37	3119.1	
209.58	3508.9	
209.79	5107.6	
210.01	4650.9	
210.22	2584.5	
210.43	2781.8	
210.65	4720.6	
210.86	5011.4	
211.07	3121.1	
211.29	2879.4	
211.5	4992.9	
211.71	4695.3	
211.93	2924.5	
212.14	2918.4	
212.35	4717.2	
212.56	4812	
212.78	3331.4	
212.99	2729.3	
213.2	5385.5	
213.42	4586.1	
213.63	3014.6	
213.84	3182.5	
214.06	4269.3	
214.27	4332.1	
214.48	3180.5	
214.69	3394.8	
214.91	5297.4	
215.12	5240.1	
215.33	3335.5	
215.55	3598.3	
215.76	5641.5	
215.97	4954	
216.18	3231.7	
216.4	3177.8	
216.61	4443.4	
216.82	5081.7	
217.04	2969.6	
217.25	3050.8	
217.46	5237.3	
217.67	4952.7	
217.89	2671.2	
218.1	2742.9	
218.31	4806.6	
218.53	4874.8	
218.74	3117	
218.95	3018.7	
219.16	4726.7	
219.38	5395	
219.59	2966.8	
219.8	3447.4	
220.01	5841.5	
220.23	4814.1	
220.44	3781.9	
220.65	2915.6	
220.87	4833.9	
221.08	5193.6	
221.29	2801.6	
221.5	3534.8	
221.72	6173.9	
221.93	4496.7	
222.14	3327.3	
222.35	3868.6	
222.57	4756.1	
222.78	5098.8	
222.99	3224.2	
