Wavelength	Intensities	
nm	a.u.	
179.22	1959.2	
179.44	1948.3	
179.65	1970.1	
179.86	1926.5	
180.08	1964.7	
180.29	4900.1	
180.51	3455.6	
180.72	5626.5	
180.94	6614.9	
181.15	3188.7	
181.37	3170.9	
181.58	5511.8	
181.79	5806.7	
182.01	3373	
182.22	3635.1	
182.44	5757.5	
182.65	4824.3	
182.87	4588.1	
183.08	4004.5	
183.29	6128.2	
183.51	5012.7	
183.72	3676.1	
183.94	5428.5	
184.15	5442.8	
184.37	5436.7	
184.58	3266.5	
184.79	4427	
185.01	5040.7	
185.22	5758.9	
185.44	4674.8	
185.65	3965.6	
185.86	5276.9	
186.08	4919.2	
186.29	3198.2	
186.51	3402.4	
186.72	5098.1	
186.94	5902.2	
187.15	3901.4	
187.36	4082.3	
187.58	7760.4	
187.79	5476.3	
188.01	4248.2	
188.22	6585.6	
188.43	6704.4	
188.65	5793	
188.86	3362.8	
189.08	3997.6	
189.29	5222.3	
189.5	5246.2	
189.72	3753.2	
189.93	3823.6	
190.15	6011.5	
190.36	7211.6	
190.57	4205.8	
190.79	3949.8	
191	6118.6	
191.22	5993.7	
191.43	4078.9	
191.64	3407.1	
191.86	6261.3	
192.07	6061.3	
192.29	3561.4	
192.5	3713.6	
192.71	5977.3	
192.93	5186.8	
193.14	3702	
193.35	3841.3	
193.57	5182	
193.78	5949.3	
194	3000.3	
194.21	3673.4	
194.42	4993.6	
194.64	5437.4	
194.85	4086.4	
195.07	4740.4	
195.28	5483.8	
195.49	4731.5	
195.71	5059.8	
195.92	3475.4	
196.13	5623.7	
196.35	5720.7	
196.56	5304.9	
196.78	4017.4	
196.99	7077.8	
197.2	6651.8	
197.42	4612	
197.63	4147.8	
197.84	4887.8	
198.06	5600.5	
198.27	3744.4	
198.48	4996.4	
198.7	5223.7	
198.91	5346.6	
199.13	4096.6	
199.34	4096.6	
199.55	5887.2	
199.77	4711	
199.98	3556	
200.19	4126.7	
200.41	5268.1	
200.62	4975.9	
200.83	4227.7	
201.05	4530.1	
201.26	5317.9	
201.47	5098.1	
201.69	3621.5	
201.9	3475.4	
202.11	5401.9	
202.33	6475	
202.54	3879.5	
202.76	4223.6	
202.97	5553.4	
203.18	5534.3	
203.4	4237.2	
203.61	4212	
203.82	5479	
204.04	5055.1	
204.25	4136.2	
204.46	4007.2	
204.68	5409.4	
204.89	5683.1	
205.1	4003.1	
205.32	3428.3	
205.53	5812.1	
205.74	6002.6	
205.96	2995.5	
206.17	4162.8	
206.38	5821	
206.6	5969.1	
206.81	4737.6	
207.02	3758	
207.24	5695.4	
207.45	6078.4	
207.66	3872	
207.88	3287	
208.09	5700.2	
208.3	5402.5	
208.52	3549.8	
208.73	3876.8	
208.94	5438	
209.15	6083.8	
209.37	3880.2	
209.58	4072	
209.79	5984.2	
210.01	5212.8	
210.22	3151.8	
210.43	3222.1	
210.65	5423	
210.86	5829.2	
211.07	3868.6	
211.29	3584.6	
211.5	5791	
211.71	5369.8	
211.93	3558	
212.14	3552.5	
212.35	5384.8	
212.56	5610.8	
212.78	4134.2	
212.99	3414.6	
213.2	6390.3	
213.42	5158.2	
213.63	3717.1	
213.84	4008.6	
214.06	4838.7	
214.27	4898.1	
214.48	3864.5	
214.69	4171	
214.91	6146.6	
215.12	6171.2	
215.33	4209.9	
215.55	4607.9	
215.76	6681.2	
215.97	5859.2	
216.18	4052.2	
216.4	3870	
216.61	5042.1	
216.82	5877.7	
217.04	3585.3	
217.25	3803.1	
217.46	6041.5	
217.67	5787.6	
217.89	3198.9	
218.1	3302	
218.31	5512.4	
218.53	5648.3	
218.74	3739.6	
218.95	3626.3	
219.16	5390.3	
219.38	6314.6	
219.59	3653.6	
219.8	4372.4	
220.01	7112.6	
220.23	5442.1	
220.44	4823	
220.65	3550.5	
220.87	5492.7	
221.08	6071.5	
221.29	3357.3	
221.5	4442.7	
221.72	7397.9	
221.93	5126.7	
222.14	4134.2	
222.35	4880.3	
222.57	5446.9	
222.78	5775.3	
222.99	3931.4	
223.2	4203.8	
223.42	5719.3	
223.63	5890.6	
223.84	2975.7	
224.05	3012.6	
224.27	7011.6	
224.48	6304.3	
224.69	4805.9	
224.9	4082.3	
225.12	5667.4	
225.33	5345.9	
225.54	3252.2	
225.75	3627	
225.97	4986.1	
226.18	5294.7	
226.39	3962.8	
226.6	3664.5	
226.82	5189.6	
227.03	5072.1	
227.24	4050.9	
227.45	3389.4	
227.67	5834	
227.88	6406	
228.09	4561.5	
228.3	4584.7	
228.52	5868.1	
228.73	5350	
228.94	3768.9	
229.15	3379.8	
229.36	5347.9	
229.58	5304.2	
229.79	3896.6	
230	4447.5	
230.21	6552.8	
230.43	5551.4	
230.64	4102.8	
230.85	4312.3	
231.06	5973.2	
231.28	5894.1	
231.49	3402.4	
231.7	3990.8	
231.91	5681.1	
232.12	5466	
232.34	3411.9	
232.55	3950.5	
232.76	6082.5	
232.97	5628.5	
233.18	3552.5	
233.4	4047.5	
233.61	5630.5	
233.82	5128.8	
234.03	3736.9	
234.25	3694.5	
234.46	7600	
234.67	5451.7	
234.88	4194.9	
235.09	3639.9	
235.31	5748.6	
235.52	5294.7	
235.73	4052.2	
235.94	3401.7	
236.15	5102.9	
236.37	6622.4	
236.58	3588.7	
236.79	3986	
237	5786.2	
237.21	4955.4	
237.43	4210.6	
237.64	3342.3	
237.85	9916.9	
238.06	4984.8	
238.27	4360.8	
238.48	3442	
238.7	5765.7	
238.91	5240.8	
239.12	3888.4	
239.33	3950.5	
239.54	4986.1	
239.76	5318.6	
239.97	3912.3	
240.18	3906.8	
240.39	6803.4	
240.6	5780.7	
240.82	4037.9	
241.03	3338.9	
241.24	5399.8	
241.45	6281.8	
241.66	3544.4	
241.87	4215.4	
242.09	6190.3	
242.3	6596.5	
242.51	4265.2	
242.72	3943.7	
242.93	5907	
243.14	5384.1	
243.36	4552.6	
243.57	4917.9	
243.78	6277	
243.99	5766.4	
244.2	3870.7	
244.41	3543.7	
244.63	4961.5	
244.84	5778.7	
245.05	4246.1	
245.26	3932.8	
245.47	5702.9	
245.68	6034.7	
245.9	5242.8	
246.11	4105.5	
246.32	5264.6	
246.53	5692	
246.74	6348	
246.95	3287	
247.16	4928.8	
247.38	5475.6	
247.59	3259.7	
247.8	3969.6	
248.01	5150.6	
248.22	5328.8	
248.43	3583.9	
248.64	3800.3	
248.86	4786.1	
249.07	5149.3	
249.28	3435.1	
249.49	3964.2	
249.7	6001.9	
249.91	6133	
250.12	3241.3	
250.34	3332	
250.55	5547.9	
250.76	5468.8	
250.97	4031.1	
251.18	4132.1	
251.39	6173.3	
251.6	5629.9	
251.81	4096.6	
252.03	4169	
252.24	5211.4	
252.45	5936.4	
252.66	3414.6	
252.87	4354	
253.08	5431.9	
253.29	7228	
253.5	3363.4	
253.72	4752	
253.93	5292	
254.14	6455.9	
254.35	3693.2	
254.56	3796.9	
254.77	5664.7	
254.98	5040.7	
255.19	3671.3	
255.41	4805.2	
255.62	5567.7	
255.83	6143.9	
256.04	4238.6	
256.25	4098.7	
256.46	6470.9	
256.67	5102.9	
256.88	4031.1	
257.09	4518.5	
257.31	5115.1	
257.52	5087.8	
257.73	5080.3	
257.94	3752.6	
258.15	5331.5	
258.36	5410.1	
258.57	4736.3	
258.78	2932	
258.99	5906.3	
259.2	5351.3	
259.41	3745.1	
259.63	3925.3	
259.84	6267.5	
260.05	6820.4	
260.26	4955.4	
260.47	3664.5	
260.68	6016.9	
260.89	5347.2	
261.1	4495.3	
261.31	3573.7	
261.52	5984.2	
261.73	6437.4	
261.95	4804.5	
262.16	4259.1	
262.37	6171.9	
262.58	6253.8	
262.79	4828.4	
263	3819.5	
263.21	5461.9	
263.42	4968.4	
263.63	3874.1	
263.84	3721.8	
264.05	6010.1	
264.26	6387.6	
264.47	4678.9	
264.69	4211.3	
264.9	6130.3	
265.11	5642.2	
265.32	3678.8	
265.53	3727.3	
265.74	5520	
265.95	4886.5	
266.16	4016.1	
266.37	4421.6	
266.58	5579.3	
266.79	5247.6	
267	3609.9	
267.21	3493.8	
267.42	4999.8	
267.63	5466.7	
267.84	3912.3	
268.06	3331.4	
268.27	5847.6	
268.48	6242.2	
268.69	3848.1	
268.9	4581.3	
269.11	6158.9	
269.32	4871.4	
269.53	3927.3	
269.74	3633.8	
269.95	5789.6	
270.16	4803.9	
270.37	3972.4	
270.58	4564.2	
270.79	5292	
271	5999.9	
271.21	4163.5	
271.42	3976.5	
271.63	5595.1	
271.84	5106.3	
272.05	3102.7	
272.26	3542.3	
272.47	5485.1	
272.68	5683.1	
272.89	3758.7	
273.11	4321.2	
273.32	5221	
273.53	6424.5	
273.74	4229.7	
273.95	4164.2	
274.16	6098.9	
274.37	5498.8	
274.58	4301.4	
274.79	3469.9	
275	5625.8	
275.21	6131.6	
275.42	5130.8	
275.63	4409.3	
275.84	5715.2	
