Wavelength	Intensities	
nm	a.u.	
179.22	1875.1	
179.44	1879	
179.65	1871.2	
179.86	1886.9	
180.08	1923.7	
180.29	4874.2	
180.51	3489.1	
180.72	5587.5	
180.94	6533.7	
181.15	3237.2	
181.37	3173	
181.58	5412.1	
181.79	5771.2	
182.01	3343	
182.22	3632.4	
182.44	5798.5	
182.65	4778.6	
182.87	4495.3	
183.08	3960.1	
183.29	6022.4	
183.51	4997.7	
183.72	3621.5	
183.94	5291.3	
184.15	5395.7	
184.37	5411.4	
184.58	3188	
184.79	4367.6	
185.01	4965.6	
185.22	5734.3	
185.44	4644.1	
185.65	3859.1	
185.86	5246.9	
186.08	4894.6	
186.29	3071.3	
186.51	3348.4	
186.72	4969.7	
186.94	5927.5	
187.15	3857	
187.36	3968.3	
187.58	7701.7	
187.79	5520.6	
188.01	4150.6	
188.22	6494.8	
188.43	6570.6	
188.65	5710.4	
188.86	3295.2	
189.08	3986	
189.29	5212.8	
189.5	5150	
189.72	3691.8	
189.93	3723.9	
190.15	5974.6	
190.36	7038.2	
190.57	3947.8	
190.79	3919.1	
191	5986.9	
191.22	5918.6	
191.43	4109.6	
191.64	3292.5	
191.86	6232	
192.07	5982.1	
192.29	3494.5	
192.5	3746.4	
192.71	5907.7	
192.93	5135.6	
193.14	3606.5	
193.35	3735.5	
193.57	5137	
193.78	5917.9	
194	2955.9	
194.21	3621.5	
194.42	4941.1	
194.64	5414.8	
194.85	3958.7	
195.07	4692.6	
195.28	5471.5	
195.49	4670.1	
195.71	4967.7	
195.92	3423.5	
196.13	5588.2	
196.35	5626.5	
196.56	5256.5	
196.78	3996.3	
196.99	6974.7	
197.2	6503	
197.42	4536.9	
197.63	3997.6	
197.84	4820.9	
198.06	5533.6	
198.27	3677.5	
198.48	4882.4	
198.7	5113.8	
198.91	5250.3	
199.13	4089.8	
199.34	4017.4	
199.55	5780.7	
199.77	4666.6	
199.98	3557.3	
200.19	3997.6	
200.41	5289.9	
200.62	4976.6	
200.83	4169.7	
201.05	4521.2	
201.26	5335	
201.47	5025.7	
201.69	3550.5	
201.9	3451.5	
202.11	5298.1	
202.33	6365.1	
202.54	3819.5	
202.76	4283	
202.97	5483.8	
203.18	5480.4	
203.4	4230.4	
203.61	4143	
203.82	5430.5	
204.04	5049.6	
204.25	4050.9	
204.46	4051.6	
204.68	5423	
204.89	5607.3	
205.1	3932.1	
205.32	3468.6	
205.53	5772.5	
205.74	5920.7	
205.96	2927.9	
206.17	4078.2	
206.38	5789.6	
206.6	5917.3	
206.81	4541	
207.02	3790.8	
207.24	5630.5	
207.45	5995.1	
207.66	3835.2	
207.88	3280.2	
208.09	5566.4	
208.3	5438	
208.52	3506.1	
208.73	3956	
208.94	5378.6	
209.15	6114.6	
209.37	3810.6	
209.58	4037.2	
209.79	5940.5	
210.01	5209.3	
210.22	3069.2	
210.43	3231	
210.65	5411.4	
210.86	5787.6	
211.07	3858.4	
211.29	3485.6	
211.5	5716.6	
211.71	5296	
211.93	3538.2	
212.14	3594.2	
212.35	5309.7	
212.56	5561.6	
212.78	4106.9	
212.99	3327.3	
213.2	6352.1	
213.42	5187.5	
213.63	3643.3	
213.84	3905.5	
214.06	4739.7	
214.27	4825.7	
214.48	3786.7	
214.69	4100	
214.91	6034	
215.12	6130.9	
215.33	4184	
215.55	4550.6	
215.76	6637.5	
215.97	5769.8	
216.18	3997	
216.4	3872	
216.61	5025	
216.82	5863.3	
217.04	3508.2	
217.25	3669.3	
217.46	6021.7	
217.67	5759.6	
217.89	3153.9	
218.1	3327.9	
218.31	5461.9	
218.53	5528.8	
218.74	3728.7	
218.95	3629.7	
219.16	5319.3	
219.38	6328.9	
219.59	3604.4	
219.8	4287.8	
220.01	6929	
220.23	5380.7	
220.44	4689.8	
220.65	3508.9	
220.87	5442.1	
221.08	6026.5	
221.29	3209.8	
221.5	4351.3	
221.72	7385	
221.93	5113.1	
222.14	4087.1	
222.35	4749.2	
222.57	5398.4	
222.78	5719.3	
222.99	3861.1	
223.2	4169	
223.42	5758.2	
223.63	5808.7	
223.84	2949.8	
224.05	2927.2	
224.27	6884.6	
224.48	6233.3	
224.69	4732.9	
224.9	4027	
225.12	5659.9	
225.33	5319.3	
225.54	3239.9	
225.75	3603.7	
225.97	4940.4	
226.18	5241.4	
226.39	3877.5	
226.6	3567.6	
226.82	5115.8	
227.03	5025	
227.24	4040.6	
227.45	3361.4	
227.67	5751.4	
227.88	6253.8	
228.09	4443.4	
228.3	4522.6	
228.52	5836.7	
228.73	5380.7	
228.94	3768.3	
229.15	3331.4	
229.36	5280.3	
229.58	5198.4	
229.79	3758	
230	4419.5	
230.21	6528.2	
230.43	5478.3	
230.64	4025.6	
230.85	4142.4	
231.06	5777.3	
231.28	5791	
231.49	3303.4	
231.7	3911.6	
231.91	5726.1	
232.12	5376.6	
232.34	3450.8	
232.55	3891.1	
232.76	5969.1	
232.97	5575.3	
233.18	3562.1	
233.4	3970.3	
233.61	5541.8	
233.82	5083.7	
234.03	3750.5	
234.25	3654.3	
234.46	7499	
234.67	5444.9	
234.88	4178.5	
235.09	3584.6	
235.31	5674.9	
235.52	5255.8	
235.73	3994.2	
235.94	3361.4	
236.15	5122.7	
236.37	6528.2	
236.58	3495.2	
236.79	3858.4	
237	5657.9	
237.21	4905.6	
237.43	4147.8	
237.64	3281.5	
237.85	9806.4	
238.06	4978.6	
238.27	4207.2	
238.48	3373	
238.7	5687.2	
238.91	5250.3	
239.12	3846.8	
239.33	3919.1	
239.54	4965	
239.76	5286.5	
239.97	3808.5	
240.18	3861.8	
240.39	6711.2	
240.6	5636.7	
240.82	4024.9	
241.03	3244.7	
241.24	5358.9	
241.45	6223.8	
241.66	3515	
241.87	4164.2	
242.09	6049	
242.3	6460.7	
242.51	4255	
242.72	3858.4	
242.93	5834.7	
243.14	5314.5	
243.36	4493.9	
243.57	4734.9	
243.78	6212.9	
243.99	5780.1	
244.2	3870.7	
244.41	3525.2	
244.63	4913.8	
244.84	5700.2	
245.05	4161.5	
245.26	3872	
245.47	5671.5	
245.68	5935.7	
245.9	5126.7	
246.11	4091.8	
246.32	5214.1	
246.53	5618.3	
246.74	6351.4	
246.95	3273.3	
247.16	4904.2	
247.38	5393	
247.59	3204.4	
247.8	3844	
248.01	5035.3	
248.22	5332.2	
248.43	3452.9	
248.64	3764.2	
248.86	4762.2	
249.07	5164.3	
249.28	3374.4	
249.49	3959.4	
249.7	5926.8	
249.91	6013.5	
250.12	3231	
250.34	3281.5	
250.55	5489.2	
250.76	5427.1	
250.97	4035.2	
251.18	4051.6	
251.39	6089.3	
251.6	5578	
251.81	4102.1	
252.03	4099.4	
252.24	5143.8	
252.45	5921.4	
252.66	3378.5	
252.87	4314.4	
253.08	5411.4	
253.29	7141.9	
253.5	3364.8	
253.72	4716.5	
253.93	5218.9	
254.14	6347.3	
254.35	3712.3	
254.56	3754.6	
254.77	5619.6	
254.98	5014.1	
255.19	3591.5	
255.41	4672.1	
255.62	5486.5	
255.83	6083.1	
