Wavelength	Intensities	
nm	a.u.	
179.22	1964.2	
179.44	1965	
179.65	1963.3	
179.86	1966.7	
180.08	1963.3	
180.29	5069.4	
180.51	3665.9	
180.72	5782.8	
180.94	6857.3	
181.15	3357.3	
181.37	3256.3	
181.58	5605.3	
181.79	5967.1	
182.01	3469.9	
182.22	3794.2	
182.44	5952.8	
182.65	4896.7	
182.87	4722.6	
183.08	4121.9	
183.29	6217	
183.51	5074.9	
183.72	3783.3	
183.94	5525.4	
184.15	5554.1	
184.37	5567.1	
184.58	3328.6	
184.79	4564.2	
185.01	5068	
185.22	5942.5	
185.44	4840	
185.65	4001.7	
185.86	5335	
186.08	4978.6	
186.29	3238.5	
186.51	3454.9	
186.72	5139.7	
186.94	6036	
187.15	4073.4	
187.36	4213.4	
187.58	7965.9	
187.79	5676.3	
188.01	4403.8	
188.22	6825.9	
188.43	6823.8	
188.65	5902.2	
188.86	3508.2	
189.08	4191.5	
189.29	5383.4	
189.5	5327.4	
189.72	3829.7	
189.93	3904.1	
190.15	6126.8	
190.36	7398.6	
190.57	4324.6	
190.79	4133.5	
191	6238.1	
191.22	6121.4	
191.43	4223.6	
191.64	3455.6	
191.86	6421.7	
192.07	6237.4	
192.29	3673.4	
192.5	3812	
192.71	6168.5	
192.93	5239.4	
193.14	3812.6	
193.35	3900	
193.57	5327.4	
193.78	6135	
194	3103.4	
194.21	3794.9	
194.42	5056.4	
194.64	5532.2	
194.85	4165.6	
195.07	4915.1	
195.28	5618.3	
195.49	4791.6	
195.71	5181.4	
195.92	3583.3	
196.13	5778	
196.35	5895.4	
196.56	5535.7	
196.78	4209.3	
196.99	7277.1	
197.2	6762.4	
197.42	4840.7	
197.63	4191.5	
197.84	4937	
198.06	5733.6	
198.27	3872.7	
198.48	5163.6	
198.7	5278.3	
198.91	5419.6	
199.13	4229.1	
199.34	4257.7	
199.55	5910.4	
199.77	4784.7	
199.98	3667.9	
200.19	4288.4	
200.41	5371.8	
200.62	5134.9	
200.83	4364.9	
201.05	4706.9	
201.26	5468.1	
201.47	5182.7	
201.69	3755.3	
201.9	3563.5	
202.11	5510.4	
202.33	6595.8	
202.54	3956	
202.76	4411.3	
202.97	5698.8	
203.18	5683.1	
203.4	4343.7	
203.61	4270	
203.82	5610.1	
