Wavelength	Intensities	
nm	a.u.	
179.22	1931.7	
179.44	1938.4	
179.65	1925.1	
179.86	1951.7	
180.08	1910.1	
180.29	5050.3	
180.51	3619.4	
180.72	5732.9	
180.94	6770.6	
181.15	3360.7	
181.37	3276.7	
181.58	5640.1	
181.79	5939.1	
182.01	3432.4	
182.22	3751.2	
182.44	5924.1	
182.65	4926.7	
182.87	4790.2	
183.08	4094.6	
183.29	6233.3	
183.51	5090.6	
183.72	3732.8	
183.94	5540.4	
184.15	5531.6	
184.37	5615.5	
184.58	3274.7	
184.79	4593.6	
185.01	5121.3	
185.22	5909.1	
185.44	4844.8	
185.65	4041.3	
185.86	5386.2	
186.08	5003.2	
186.29	3198.2	
186.51	3489.1	
186.72	5133.6	
186.94	6141.9	
187.15	3986	
187.36	4157.4	
187.58	8026.7	
187.79	5617.6	
188.01	4337.6	
188.22	6816.3	
188.43	6765.1	
188.65	5855.1	
188.86	3454.9	
189.08	4138.9	
189.29	5266.7	
189.5	5352.7	
189.72	3810.6	
189.93	3849.5	
190.15	6094.1	
190.36	7368.6	
190.57	4256.4	
190.79	4108.9	
191	6193.7	
191.22	6195.8	
191.43	4228.4	
191.64	3418.7	
191.86	6355.5	
192.07	6116.6	
192.29	3652.2	
192.5	3900.7	
192.71	6144.6	
192.93	5241.4	
193.14	3790.8	
193.35	3922.5	
193.57	5239.4	
193.78	6090	
194	3071.3	
194.21	3703.4	
194.42	5020.3	
194.64	5586.2	
194.85	4172.4	
195.07	4890.5	
195.28	5627.8	
195.49	4722.6	
195.71	5158.2	
195.92	3556.6	
196.13	5668.8	
196.35	5827.2	
196.56	5453.1	
196.78	4172.4	
196.99	7224.6	
197.2	6790.4	
197.42	4719.9	
197.63	4190.8	
197.84	4903.5	
198.06	5763	
198.27	3826.3	
198.48	5110.4	
198.7	5274.9	
198.91	5380.7	
199.13	4197.7	
199.34	4234.5	
199.55	5932.3	
199.77	4799.8	
199.98	3716.4	
200.19	4236.6	
200.41	5284.4	
200.62	5107	
200.83	4383.3	
201.05	4704.9	
201.26	5384.8	
201.47	5147.2	
201.69	3674.1	
201.9	3547.1	
202.11	5468.1	
202.33	6609.5	
202.54	3983.3	
202.76	4472.1	
202.97	5610.1	
203.18	5571.2	
203.4	4339.6	
203.61	4315.1	
203.82	5540.4	
204.04	5172.5	
204.25	4214	
204.46	4136.9	
204.68	5466.7	
204.89	5810.8	
205.1	4077.5	
205.32	3560.7	
205.53	5941.2	
205.74	6107.7	
205.96	3009.8	
206.17	4323.9	
206.38	5887.9	
206.6	6053.1	
206.81	4865.3	
207.02	3871.3	
207.24	5788.2	
207.45	6217	
207.66	3962.1	
207.88	3407.1	
208.09	5731.6	
208.3	5501.5	
208.52	3675.4	
208.73	4043.4	
208.94	5511.1	
209.15	6298.9	
209.37	3980.6	
209.58	4203.1	
209.79	6080.4	
210.01	5343.8	
210.22	3177.8	
210.43	3276.1	
210.65	5476.3	
210.86	6023.1	
211.07	3964.2	
211.29	3635.8	
211.5	5895.4	
211.71	5404.6	
211.93	3680.9	
212.14	3642.7	
212.35	5487.2	
212.56	5711.1	
212.78	4190.1	
212.99	3458.3	
213.2	6570.6	
213.42	5249.6	
213.63	3777.8	
213.84	4050.2	
214.06	4871.4	
214.27	5025.7	
214.48	3981.9	
214.69	4261.1	
214.91	6201.2	
215.12	6319.3	
215.33	4292.5	
215.55	4762.2	
215.76	6853.2	
215.97	5956.9	
216.18	4117.8	
216.4	3988.1	
216.61	5158.8	
216.82	6055.8	
217.04	3706.8	
217.25	3798.3	
217.46	6242.2	
217.67	6002.6	
217.89	3318.4	
218.1	3423.5	
218.31	5606	
218.53	5689.9	
218.74	3808.5	
218.95	3732.1	
219.16	5528.2	
219.38	6406.7	
219.59	3751.2	
219.8	4501.4	
220.01	7174.7	
220.23	5564.3	
220.44	4966.3	
220.65	3628.3	
220.87	5616.2	
221.08	6199.2	
221.29	3375.7	
221.5	4541	
221.72	7613	
221.93	5247.6	
222.14	4257.7	
222.35	4976.6	
222.57	5623	
222.78	5857.9	
222.99	3981.9	
223.2	4338.3	
223.42	5883.1	
223.63	6061.3	
223.84	3076.7	
224.05	3042.6	
224.27	7138.5	
224.48	6514.6	
224.69	5008	
224.9	4246.8	
225.12	5752.7	
225.33	5469.4	
225.54	3311.6	
225.75	3787.4	
225.97	5040.7	
226.18	5349.3	
226.39	4041.3	
226.6	3704.8	
226.82	5223	
227.03	5191.6	
227.24	4208.6	
227.45	3428.3	
227.67	5943.9	
227.88	6549.4	
228.09	4749.9	
228.3	4812.7	
228.52	5945.9	
228.73	5502.2	
228.94	3856.3	
229.15	3429	
229.36	5433.3	
229.58	5461.9	
229.79	3929.4	
230	4590.2	
230.21	6630.6	
230.43	5629.2	
230.64	4135.5	
230.85	4373.1	
231.06	5976	
231.28	5995.8	
231.49	3463.8	
231.7	4072.7	
231.91	5820.3	
232.12	5548.6	
232.34	3579.8	
232.55	4066.6	
232.76	6165.1	
232.97	5726.1	
233.18	3635.8	
233.4	4095.3	
233.61	5720.7	
233.82	5248.9	
234.03	3852.9	
234.25	3796.3	
234.46	7729.7	
234.67	5505.6	
234.88	4302.8	
235.09	3722.5	
235.31	5944.6	
235.52	5406	
235.73	4181.3	
235.94	3521.1	
236.15	5250.3	
236.37	6775.4	
236.58	3688.4	
236.79	4005.8	
237	5862.7	
237.21	4995.7	
237.43	4284.4	
237.64	3373	
237.85	10174	
238.06	5092.6	
238.27	4307.6	
238.48	3487.7	
