Wavelength	Intensities	
nm	a.u.	
179.22	1612.9	
179.44	1610	
179.65	1615.8	
179.86	1604.2	
180.08	1589.9	
180.29	3558	
180.51	2856.2	
180.72	4732.2	
180.94	5162.2	
181.15	2532	
181.37	2556.5	
181.58	4552.6	
181.79	4728.8	
182.01	2691.7	
182.22	2732	
182.44	4823.6	
182.65	4167.6	
182.87	3280.8	
183.08	2966.8	
183.29	4977.2	
183.51	4208.6	
183.72	2695.1	
183.94	3725.3	
184.15	4504.8	
184.37	4411.3	
184.58	2525.8	
184.79	3136.1	
185.01	4265.2	
185.22	4795.7	
185.44	3315	
185.65	2912.2	
185.86	4501.4	
186.08	4158.7	
186.29	2441.9	
186.51	2560.6	
186.72	4287.1	
186.94	4815.5	
187.15	2923.1	
187.36	2932.7	
187.58	5893.4	
187.79	4590.2	
188.01	3054.9	
188.22	4426.3	
188.43	5193	
188.65	4691.9	
188.86	2585.9	
189.08	2994.8	
189.29	4327.4	
189.5	4332.1	
189.72	2731.3	
189.93	2816	
190.15	4848.2	
190.36	5515.9	
190.57	3018.7	
190.79	2957.9	
191	4856.4	
191.22	4849.6	
191.43	3024.2	
191.64	2628.2	
191.86	5041.4	
192.07	4812.7	
192.29	2646.7	
192.5	2743.6	
192.71	4776.5	
192.93	4361.5	
193.14	2743.6	
193.35	2833	
193.57	4343.7	
193.78	4819.6	
194	2373.6	
194.21	2764.8	
194.42	4149.9	
194.64	4437.9	
194.85	2949.1	
195.07	3374.4	
195.28	4435.2	
195.49	4030.4	
195.71	3493.8	
195.92	2616.6	
196.13	4673.5	
196.35	4670.7	
196.56	3682.9	
196.78	3029.6	
196.99	5474.2	
197.2	5163.6	
197.42	3267.9	
197.63	3006.4	
197.84	4067.3	
198.06	4621.6	
198.27	2796.2	
198.48	3491.8	
198.7	4343.1	
198.91	4539.7	
199.13	2956.6	
199.34	2905.4	
199.55	4850.3	
199.77	3928	
199.98	2689	
200.19	2988.7	
200.41	4447.5	
200.62	4199.7	
200.83	3038.5	
201.05	3309.5	
201.26	4474.8	
201.47	4334.2	
201.69	2698.5	
201.9	2649.4	
202.11	4519.2	
202.33	5122.7	
202.54	2867.2	
202.76	3175	
202.97	4541	
203.18	4660.5	
203.4	3089	
203.61	3118.4	
203.82	4504.2	
204.04	4253.6	
204.25	3017.3	
204.46	3041.2	
204.68	4500.8	
204.89	4630.5	
205.1	2947.7	
205.32	2600.2	
205.53	4661.9	
205.74	4792.2	
205.96	2296.5	
206.17	2981.2	
206.38	4676.2	
206.6	4807.3	
206.81	3336.1	
207.02	2822.1	
207.24	4655.7	
207.45	4862.6	
207.66	2862.4	
207.88	2527.2	
208.09	4568.3	
208.3	4470.7	
208.52	2665.8	
208.73	2899.9	
208.94	4472.1	
209.15	4910.3	
209.37	2933.4	
209.58	2914.9	
209.79	4788.2	
210.01	4323.9	
210.22	2436.4	
210.43	2504.7	
210.65	4433.9	
210.86	4739.7	
211.07	2871.3	
211.29	2681.5	
211.5	4674.1	
211.71	4401.1	
211.93	2689	
212.14	2661.7	
