Wavelength	Intensities	
nm	a.u.	
179.22	1894.7	
179.44	1906.7	
179.65	1882.8	
179.86	1930.6	
180.08	1920.3	
180.29	4918.5	
180.51	3519.8	
180.72	5666.7	
180.94	6563.1	
181.15	3222.8	
181.37	3186.6	
181.58	5498.8	
181.79	5803.3	
182.01	3366.2	
182.22	3577.8	
182.44	5791	
182.65	4809.3	
182.87	4524	
183.08	3978.5	
183.29	6034	
183.51	4991.6	
183.72	3701.4	
183.94	5296.7	
184.15	5412.8	
184.37	5393	
184.58	3194.1	
184.79	4364.2	
185.01	4996.4	
185.22	5763.7	
185.44	4668	
185.65	3927.3	
185.86	5221	
186.08	4884.4	
186.29	3063.1	
186.51	3398.9	
186.72	4995.7	
186.94	5874.9	
187.15	3887	
187.36	3991.5	
187.58	7727.7	
187.79	5533.6	
188.01	4175.8	
188.22	6508.4	
188.43	6626.5	
188.65	5696.8	
188.86	3300	
189.08	4009.9	
189.29	5193.6	
189.5	5216.2	
189.72	3663.1	
189.93	3745.7	
190.15	5917.3	
190.36	7121.5	
190.57	4073.4	
190.79	3990.1	
191	6070.2	
191.22	5961.6	
191.43	4025.6	
191.64	3315	
191.86	6245.6	
192.07	5928.2	
192.29	3521.1	
192.5	3716.4	
192.71	5967.8	
192.93	5115.8	
193.14	3672.7	
193.35	3730.7	
193.57	5119.9	
193.78	5901.6	
194	2953.9	
194.21	3680.9	
194.42	4900.8	
194.64	5431.2	
194.85	3978.5	
195.07	4759.5	
195.28	5455.8	
195.49	4689.8	
195.71	4964.3	
195.92	3430.3	
196.13	5596.4	
196.35	5622.4	
196.56	5276.3	
196.78	4063.2	
196.99	7002.7	
197.2	6619.7	
197.42	4585.4	
197.63	4064.5	
197.84	4816.1	
198.06	5535	
198.27	3713	
198.48	4948.6	
198.7	5147.2	
198.91	5246.2	
199.13	4012.7	
199.34	4067.3	
199.55	5784.8	
199.77	4682.3	
199.98	3541.6	
200.19	4097.3	
200.41	5260.5	
200.62	4962.9	
200.83	4266.6	
201.05	4528.1	
201.26	5292.6	
201.47	5022.3	
201.69	3578.5	
201.9	3438.5	
202.11	5353.4	
202.33	6352.8	
202.54	3816	
202.76	4278.2	
202.97	5516.5	
203.18	5486.5	
203.4	4134.8	
203.61	4113	
203.82	5433.9	
204.04	5005.9	
204.25	4061.8	
204.46	3898.6	
204.68	5375.9	
204.89	5648.3	
