Wavelength	Intensities	
nm	a.u.	
179.22	1923.9	
179.44	1914.5	
179.65	1933.3	
179.86	1895.7	
180.08	1917.6	
180.29	4973.2	
180.51	3549.8	
180.72	5655.1	
180.94	6693.4	
181.15	3271.3	
181.37	3211.2	
181.58	5519.3	
181.79	5886.5	
182.01	3376.4	
182.22	3633.1	
182.44	5840.8	
182.65	4861.9	
182.87	4606.6	
183.08	4057.7	
183.29	6082.5	
183.51	5053	
183.72	3680.2	
183.94	5423.7	
184.15	5397.1	
184.37	5474.2	
184.58	3222.8	
184.79	4413.4	
185.01	5040.1	
185.22	5777.3	
185.44	4730.1	
185.65	3964.9	
185.86	5311.1	
186.08	4883.7	
186.29	3168.2	
186.51	3422.2	
186.72	5097.4	
186.94	5944.6	
187.15	3936.9	
187.36	4063.2	
187.58	7842.4	
187.79	5531.6	
188.01	4180.6	
188.22	6657.3	
188.43	6687.3	
188.65	5757.5	
188.86	3420.1	
189.08	4098.7	
189.29	5253.7	
189.5	5270.1	
189.72	3830.4	
189.93	3876.1	
190.15	6002.6	
190.36	7247.8	
190.57	4199	
190.79	4050.2	
191	6072.2	
191.22	6028.5	
191.43	4171	
191.64	3418.7	
191.86	6288.6	
192.07	6053.1	
192.29	3540.3	
192.5	3792.8	
192.71	6038.1	
192.93	5166.3	
193.14	3704.1	
193.35	3801	
193.57	5201.2	
193.78	6019.7	
194	3045.3	
194.21	3664.5	
194.42	5020.9	
194.64	5481	
194.85	4072.7	
195.07	4772.4	
195.28	5463.3	
195.49	4711	
195.71	5074.9	
195.92	3489.1	
196.13	5660.6	
196.35	5754.1	
196.56	5363.6	
196.78	4062.5	
196.99	7097.6	
197.2	6670.2	
197.42	4668	
197.63	4114.4	
197.84	4859.8	
198.06	5708.4	
198.27	3783.3	
198.48	4973.8	
198.7	5201.8	
198.91	5373.2	
199.13	4080.9	
199.34	4101.4	
199.55	5872.2	
199.77	4744.5	
199.98	3566.2	
200.19	4196.3	
200.41	5304.9	
200.62	5018.2	
200.83	4310.3	
201.05	4600.4	
201.26	5385.5	
201.47	5062.6	
201.69	3648.1	
201.9	3465.2	
202.11	5403.9	
202.33	6433.4	
202.54	3876.1	
202.76	4362.9	
202.97	5573.2	
203.18	5546.6	
203.4	4314.4	
203.61	4133.5	
203.82	5514.5	
204.04	5096.7	
204.25	4133.5	
204.46	4050.2	
204.68	5439.4	
204.89	5773.2	
205.1	3977.2	
205.32	3547.8	
205.53	5829.2	
205.74	5959.6	
205.96	2930.6	
206.17	4184	
206.38	5822.4	
206.6	5881.8	
206.81	4745.8	
207.02	3861.8	
207.24	5698.8	
207.45	6161	
207.66	3838.6	
207.88	3332	
208.09	5711.8	
208.3	5440.1	
208.52	3577.8	
208.73	3887	
208.94	5411.4	
209.15	6191	
209.37	3904.8	
209.58	4140.3	
209.79	5965.1	
210.01	5222.3	
210.22	3157.3	
210.43	3379.8	
210.65	5436	
210.86	5861.3	
211.07	3896.6	
211.29	3590.1	
211.5	5823.1	
211.71	5363.6	
211.93	3571.7	
212.14	3545.7	
212.35	5388.9	
212.56	5694.7	
212.78	4134.8	
212.99	3389.4	
213.2	6463.4	
213.42	5188.9	
213.63	3749.8	
213.84	4007.2	
214.06	4815.5	
214.27	4881.7	
214.48	3938.2	
214.69	4184.7	
214.91	6085.9	
215.12	6242.2	
215.33	4158.7	
215.55	4674.8	
215.76	6774	
215.97	5815.5	
216.18	4009.2	
216.4	3914.4	
216.61	5122.7	
216.82	6007.4	
217.04	3609.2	
217.25	3764.2	
217.46	6098.9	
217.67	5928.2	
217.89	3216.7	
218.1	3361.4	
218.31	5587.5	
218.53	5640.8	
218.74	3798.3	
218.95	3654.9	
