Wavelength	Intensities	
nm	a.u.	
179.22	1918.8	
179.44	1915.9	
179.65	1921.7	
179.86	1910.1	
180.08	1912.1	
180.29	4922.6	
180.51	3466.5	
180.72	5644.9	
180.94	6608.1	
181.15	3239.9	
181.37	3195.5	
181.58	5491.3	
181.79	5794.4	
182.01	3370.3	
182.22	3611.3	
182.44	5722.7	
182.65	4843.4	
182.87	4552	
183.08	3986.7	
183.29	6141.9	
183.51	5045.5	
183.72	3694.5	
183.94	5368.4	
184.15	5388.9	
184.37	5467.4	
184.58	3252.2	
184.79	4433.9	
185.01	5055.8	
185.22	5950	
185.44	4640.7	
185.65	3973.7	
185.86	5324	
186.08	4972.5	
186.29	3160	
186.51	3416.7	
186.72	5138.4	
186.94	5957.5	
187.15	3885.7	
187.36	4046.1	
187.58	7793.2	
187.79	5557.5	
188.01	4284.4	
188.22	6532.3	
188.43	6709.1	
188.65	5755.5	
188.86	3448.1	
189.08	4076.8	
189.29	5259.2	
189.5	5250.3	
189.72	3794.9	
189.93	3803.1	
190.15	5984.2	
190.36	7159.7	
190.57	4143	
190.79	4017.4	
191	6119.3	
191.22	5999.2	
191.43	4186.7	
191.64	3339.6	
191.86	6234	
192.07	6064	
192.29	3555.3	
192.5	3773	
192.71	6105.7	
192.93	5173.9	
193.14	3753.2	
193.35	3865.9	
193.57	5207.3	
193.78	5963.7	
194	3024.8	
194.21	3751.2	
194.42	4976.6	
194.64	5423	
194.85	4081.6	
195.07	4819.6	
195.28	5534.3	
195.49	4743.1	
195.71	5029.1	
195.92	3426.9	
196.13	5673.6	
196.35	5750	
196.56	5274.9	
196.78	4006.5	
196.99	7072.3	
197.2	6606.7	
197.42	4601.1	
197.63	4106.9	
197.84	4903.5	
198.06	5604.6	
198.27	3806.5	
198.48	5024.3	
198.7	5199.1	
198.91	5340.4	
199.13	4097.3	
199.34	4126.7	
199.55	5841.5	
199.77	4802.5	
199.98	3603.1	
200.19	4179.9	
200.41	5261.2	
200.62	5104.2	
200.83	4256.4	
201.05	4554	
201.26	5354.8	
201.47	5089.9	
201.69	3593.5	
201.9	3489.1	
202.11	5425.8	
202.33	6367.1	
202.54	3909.6	
202.76	4337.6	
202.97	5591.6	
203.18	5588.2	
203.4	4214.7	
203.61	4200.4	
203.82	5516.5	
204.04	5143.8	
204.25	4167.6	
204.46	4070.7	
204.68	5503.6	
204.89	5648.3	
205.1	3981.9	
205.32	3459	
205.53	5939.1	
205.74	5995.8	
205.96	2990.7	
206.17	4214.7	
206.38	5797.8	
206.6	5942.5	
206.81	4706.2	
207.02	3818.1	
207.24	5728.2	
207.45	6122.7	
207.66	3899.3	
207.88	3357.3	
208.09	5672.9	
208.3	5495.4	
208.52	3608.5	
208.73	3992.9	
208.94	5449	
209.15	6099.5	
209.37	3928	
209.58	4104.8	
209.79	6000.5	
210.01	5298.1	
210.22	3141.6	
210.43	3278.8	
210.65	5431.2	
210.86	5843.5	
211.07	3941.7	
211.29	3590.1	
211.5	5814.2	
211.71	5348.6	
211.93	3577.8	
212.14	3538.9	
212.35	5423.7	
212.56	5611.4	
212.78	4181.3	
212.99	3373.7	
213.2	6396.5	
213.42	5216.9	
213.63	3727.3	
213.84	3997	
214.06	4821.6	
214.27	4949.3	
214.48	3919.1	
214.69	4194.2	
214.91	6124.8	
215.12	6215.6	
215.33	4231.1	
215.55	4622.9	
215.76	6714.6	
215.97	5829.9	
216.18	4029.7	
216.4	3922.5	
216.61	5124.7	
216.82	5934.3	
217.04	3563.5	
217.25	3728.7	
217.46	6134.3	
217.67	5864	
217.89	3244.7	
218.1	3364.1	
218.31	5485.1	
218.53	5618.9	
218.74	3760.1	
218.95	3675.4	
219.16	5398.4	
219.38	6354.2	
219.59	3649.5	
219.8	4381.3	
220.01	7077.1	
220.23	5528.2	
220.44	4810	
220.65	3600.3	
220.87	5521.3	
221.08	6063.4	
221.29	3336.1	
221.5	4468	
221.72	7486	
221.93	5113.8	
222.14	4182	
222.35	4887.8	
222.57	5451.7	
222.78	5811.5	
222.99	3851.5	
223.2	4250.2	
223.42	5796.4	
223.63	5932.3	
223.84	2988.7	
224.05	3063.8	
224.27	6952.2	
224.48	6347.3	
224.69	4779.3	
224.9	4118.5	
225.12	5645.6	
225.33	5461.2	
225.54	3331.4	
225.75	3695.9	
225.97	5004.6	
226.18	5283.8	
226.39	3953.9	
226.6	3719.8	
226.82	5209.3	
227.03	5051.7	
227.24	4121.9	
227.45	3401	
227.67	5880.4	
227.88	6382.2	
228.09	4599.7	
228.3	4628.4	
228.52	5898.2	
228.73	5432.6	
228.94	3837.2	
229.15	3416	
229.36	5350	
229.58	5274.2	
229.79	3871.3	
230	4427.7	
230.21	6438.1	
230.43	5610.1	
230.64	4026.3	
230.85	4206.5	
231.06	5846.3	
231.28	5878.4	
231.49	3366.9	
231.7	3992.9	
231.91	5785.5	
232.12	5473.5	
232.34	3476.8	
232.55	3962.1	
232.76	6094.1	
232.97	5638.1	
233.18	3568.2	
233.4	4094.6	
233.61	5648.3	
233.82	5193	
234.03	3743.7	
234.25	3723.2	
234.46	7662.8	
234.67	5522	
234.88	4196.3	
235.09	3646.7	
235.31	5751.4	
235.52	5363.6	
235.73	4085.7	
235.94	3460.4	
236.15	5180.7	
236.37	6593.8	
236.58	3609.9	
236.79	3976.5	
237	5727.5	
237.21	4995	
237.43	4227	
237.64	3335.5	
237.85	9852.8	
238.06	5043.5	
238.27	4281.6	
238.48	3418.7	
238.7	5802.6	
238.91	5304.2	
239.12	3917.1	
239.33	3936.9	
239.54	5079.6	
239.76	5330.2	
239.97	3910.9	
240.18	3927.3	
240.39	6812.2	
240.6	5752.7	
240.82	4076.1	
241.03	3323.9	
241.24	5489.9	
241.45	6311.8	
241.66	3571	
241.87	4277.5	
242.09	6191	
242.3	6537.8	
242.51	4377.2	
242.72	3975.1	
242.93	5915.9	
243.14	5406.6	
243.36	4596.3	
243.57	4863.9	
243.78	6361	
243.99	5711.8	
244.2	4013.3	
244.41	3599.6	
244.63	4998.4	
244.84	5737	
245.05	4207.2	
245.26	3895.2	
245.47	5778.7	
245.68	6008.1	
245.9	5263.3	
246.11	4177.2	
246.32	5233.9	
246.53	5696.8	
246.74	6434.7	
246.95	3326.6	
247.16	4951.3	
247.38	5494	
247.59	3267.9	
